layer,rag,have_active,tested,status_flags,proving_artifact,smallest_build
Quality gates,GREEN,True,logged_real_run,active_tested|needs_human_taste,/Users/sniper/AI-Brain-Refinery/.claude/skills/os-quality-gates/SKILL.md + /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_completion_verify.py + /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_stop_check.py (all wired in /Users/sniper/AI-Brain-Refinery/.claude/settings.json),"Convert the judgment gates (anti-hallucination, proof-before-crowning, optionality, identity-collapse) from prose into a lightweight self-check the model must emit before 'done', and log recurring gate failures to an error dashboard CSV as the SKILL.md prescribes but no file yet implements."
analytics/proof-loop layer,GREEN,True,proven_dry_run,active_tested|needs_proof_loop_bridge|blocked_account_manual|needs_automation,"/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/proofcell/form/os_form_score.py (ran clean, exit 0, wrote SCORE.md), /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/proofcell/form/os_form_ingest.py, /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/proofcell/form/PROOF_LOOP.md (KILL/KEEP/SCALE thresholds), /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/proofcell/form/RESPONSES.csv (schema, 0 data rows), /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/_batch_001/10_logs/PROOF_LOOP_DASHBOARD.md (filled structure, all 'not-activated until posted').","Two moves: (1) deploy the proofcell form (one of the 3 ready versions in DEPLOY_NOTE.md) so RESPONSES.csv starts filling and os_form_score produces a real verdict. (2) Add an os_post_signal.py that takes a hand-entered or Semrush/manual-export row (asset_id, 24h, 7d) and writes the kill/keep/scale verdict into the PROOF_LOOP_DASHBOARD.md, closing the post-performance half."
archive/learning loop,GREEN,True,logged_real_run,active_tested,"/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_checkpoint.py (ran clean: 1260 sources, 910 read_verified=72.2%, consistency CLEAN), /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_ENGAGEMENT_JOURNAL.md (real dated decision-deltas + reconciled contradictions), /Users/sniper/AI-Brain-Refinery/.claude/skills/session-save/SKILL.md backed by 48 real snapshots in /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/session_saves/, /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_ENGAGEMENT_MANIFEST.csv, /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_DRYRUN_001.md.","Already operational. Marginal hardening: wire os_checkpoint --write into the session-save flow (or a SessionStart/Stop hook) so the dashboard is auto-reconciled at every session boundary instead of being run manually, and append a one-line learning-delta to OS_ENGAGEMENT_JOURNAL.md automatically on save."
character consistency layer,GREEN,True,logged_real_run,active_tested|needs_human_taste|needs_generation_bridge,"/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/characters/char_axis_01/CRS.json (4 hard invariants: eye_color, face_geometry, build, complexion; validates VALID); /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/locked_heroes/axis_v2/HERO.json + OS_LOCKED_HERO_REGISTRY.csv (axis_v2 LOCKED); /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/axis_meridian_motion_001/10_logs/FACE_MATCH_LOG.csv (real PASS at vision 0.97 and QUARANTINE at 0.1 both logged); regression /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/test_crs.py (26 pass/0 fail) and test_facelock.py (15 pass/0 fail)","Install a real face-embedding ONNX model so os_facematch can PASS on cosine similarity automatically instead of always escalating to NEEDS-VISION (today the auto layer can only FAIL, never solely PASS, so a human vision read is required on every match). That single swap is already anticipated in the code comments."
cost/session control: runaway + concurrency guard,GREEN,True,tested,active_tested,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_cost_guard.py,None. Minor: wire os_wave_lock.py release into the workflow result-handling path so locks clear on completion rather than relying on the 90-min auto-stale (today release is manual/reap-based).
cost/session control: session-state save + cold boot,GREEN,True,logged_real_run,active_tested,/Users/sniper/AI-Brain-Refinery/.claude/skills/session-save/SKILL.md,None. The session-save skill is read-only and bounded; boot brief runs at SessionStart.
cost: per-run cost ledger,GREEN,True,logged_real_run,active_tested|needs_human_taste,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_PRODUCTION_COST.csv,"Set the USD/credit rate (.prod_cost_rate is currently absent, so all USD reads UNKNOWN): os_cost.py rate set --usd-per-credit <X>. That alone converts the logged credits into real dollars."
export/versioning layer,GREEN,True,logged_real_run,active_tested|needs_human_taste,"/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_production.py (real exports on disk: /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/_batch_001/09_exports/var_a_4x5.export and var_b/var_c, plus _live_001/09_exports/monolith01_4x5.export)","Already active. Gap-closers only: (1) log-export currently writes a tiny .export stub, not a real rendered file, so wire it to the platform-mastering crops + (later) the Adobe export bridge to emit actual platform masters; (2) backfill EDIT_LOG (currently zero rows) so version transitions are actually recorded; (3) advance axis_meridian_motion_001 from awaiting_export by logging its first export."
hooks: stop-check / completion-verification,GREEN,True,logged_real_run,active_tested,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_stop_check.py,"None. Optional: have os_completion_verify.py also run from a hook on explicit 'done'/'shipped' phrases, not only by manual CLI call, so the verify gate is enforced not just available."
motion/video layer,GREEN,True,logged_real_run,active_tested|needs_human_taste|needs_generation_bridge,"/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/axis_meridian_motion_001/06_approved/axis_motion_v1.mp4 (real 1.9MB / 97 frames / 4.08s) + /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/axis_meridian_motion_001/10_logs/MOTION_QA_REPORT.json (verdict SHIP, score 0.929) + /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/axis_meridian_motion_001/10_logs/MOTION_FACE_MATCH_LOG.csv (3 frames PASS, vision 0.97/0.95/0.88) + /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/axis_meridian_motion_001/10_logs/GENERATION_LOG.csv (Vmotion1 seedance_2_0 18cr downloaded)","Replace hand-declared frame observations in motion_clip_obs.json with an automated frame-sampler + vision extractor (ffmpeg already present: extract N frames, Read each, write observed JSON) so os_motion_qa.py judges real pixels, not a manually filled rubric. Add a confirmed Higgsfield cr/sec rate to os_generate.py (currently ASSUMED_VIDEO_RATE_CR_PER_SEC=None) so prep-video stops refusing to estimate."
reliability/hooks,GREEN,True,logged_real_run,active_tested,/Users/sniper/AI-Brain-Refinery/.claude/settings.json,None for existence. Hardening: add a hook self-test (assert all 4 referenced scripts exist + exit-code contract) run by os_backup or a daily check so a renamed/moved script is caught before a live session silently loses a hook.
response ingestion/scoring layer,GREEN,True,proven_dry_run,active_tested|needs_proof_loop_bridge,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/proofcell/form/os_form_ingest.py + /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/proofcell/form/os_form_score.py (RESPONSES.csv exists as empty header-only template; SCORE.md generated on dry-run then template restored),"None for the code itself. The only gap is INPUT: it has never run on a real export (RESPONSES.csv has 0 real rows). To close, feed it the first real Tally/Formspree CSV once the form is live. Optional hardening: a tiny wrapper that auto-detects export deltas so re-ingest is idempotent (dedup already handles this)."
skill lifecycle layer,GREEN,True,tested,active_tested|needs_human_taste,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_skill.py,"None for the substrate. The real backlog: 68 INSTALLED_INCOMPLETE skills need ## Inputs / ## Outputs / a real ## Test each to reach ACTIVE. That is content work per skill, not infra. Each upgrade ships its own test (the contract enforces it)."
world bible layer,GREEN,True,tested,active_tested|needs_human_taste,"/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/worlds/world_meridian_01/WORLD.json (all 9 categories filled: 3 environments from the locked rotation, locked palette_hex, explicit forbidden_hues + 10 forbidden_elements, 6 continuity rules; validates VALID); regression /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/test_world.py (6 pass/0 fail, incl. forbidden-element and off-rotation-environment quarantine cases)",Wire os_world.py continuity into os_generate.py prep so a scene JSON is auto-checked at prep time (the gate currently exists and is tested but is invoked as a separate manual step rather than inline in the generation preflight). Also populate the 3 sref_style_slots which are still TBD-manual-pull placeholders.
