source_id,source_path,md5,bytes,class,orig_status,coverage_proof,signal_now_in,retrieval_test,retirement_state,backup_path,operator_approval
LIGHT__Lecture_5_related._One-Light-45-Degree-Beauty-Dish,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+5+related.+One-Light-45-Degree-Beauty-Dish.pdf,717621db3d9356f036f20ede67656863,1086392,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What is the exact modifier, diameter, power, height, and angle used in this one-light 45-degree setup?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_5_related._Open-Loop-Example,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+5+related.+Open-Loop-Example.pdf,b63c30d77cf98576e9954e248aaa7b70,1134351,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What modifier is on the key light in this open loop example, and where does the nose shadow fall relative to the cheek shadow?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_6_related._Closed-Loop-Example,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+6+related.+Closed-Loop-Example.pdf,c11bc1e5ead6cbe75d966329707787a3,1121834,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What single modifier does the key light use in the Closed Loop Example, and what is its power and zoom setting?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_6_related._Creative-Window-Light,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+6+related.+Creative-Window-Light.pdf,145c7e66cb32fd6717784f0fd7af0962,661719,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"In the Creative Window Light setup, what is the softbox size and orientation, and at what angle to the camera axis is it placed?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_7_related._2-Light-Clamshell,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+2-Light-Clamshell.pdf,b92787cef9622d24a4eabfa7014eea1c,1121645,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What are the two softbox heights and pitch angles in the 2-Light Clamshell, and which one is at higher power?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_7_related._A_5-Light-Studio-Setup,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+A+5-Light-Studio-Setup.pdf,522dc59049127ee4d7a59a03765aca9a,1366791,source,provisional_chunked_not_certified,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"In the 5-Light Studio Setup, which lights act as rims, what modifier do they use, and what power are they set to?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_7_related._Butterfly-Lighting,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+Butterfly-Lighting.pdf,8becbdfa8e8f56a9ac639b84bc3cc0d3,1166067,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,What modifier is on the key light in this butterfly setup and at what downward angle is it pitched?,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_7_related._Fill-Light,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+Fill-Light.pdf,91bb34ce9d30e45d7fd42daa61dfa414,983776,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"In the fill-light isolation diagram, what modifier is used and where is it positioned relative to the camera axis?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_7_related._Main-Key-Light,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+Main-Key-Light.pdf,03b461f2c805029806778a672af48d8b,1141009,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What size and type of modifier is the key light in this diagram, and which side of the camera is it placed on?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_7_related._Rim-Hair-Light,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+Rim-Hair-Light.pdf,f024448b8b4f3f00f3ab59ffc3cee666,943084,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,What modifier (if any) is on the rim/hair light in this diagram and where exactly is it positioned relative to the subject?,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_7_related._White-Background,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+White-Background.pdf,5f8d605044f33e66779d1098604f3db3,1130404,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What modifier and power setting does this white-background setup use for both key lights, and how many light blocker panels are in the diagram?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_8_related._3-Light-Commercial,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+8+related.+3-Light-Commercial.pdf,eae9508a0e9510cf442008cd36d176a6,1022752,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,What modifier is on the key light and what power and modifier are on each rimlight in the 3-light commercial setup?,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_8_related._Split-Lighting,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+8+related.+Split-Lighting.pdf,2016807627205e9fdcdac47183eb3147,1004668,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What is the exact yaw angle of the octabox relative to the subject in this split lighting diagram, and what panel is used to deepen the shadow side?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_9_related._4-Light-Beauty-On-White,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+9+related.+4-Light-Beauty-On-White.pdf,47f6450348903aa61d30309fc53c48c6,1286793,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What are the four light sources in this beauty-on-white setup, and what modifier does the under-softbox use?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_9_related._Short-Lighting,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+9+related.+Short-Lighting.pdf,2712dd8925a8aef817ad7c4bd3b8409d,1041105,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"In this short lighting setup, which side of the face does the octabox illuminate and what modifier is on it, and what is the key light power setting?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
SZARKOWSKI_looking_at_photographs,/Users/sniper/Downloads/    SNIPED_OS/367490464-Szarkowski-1973-Looking-at-Photographs-pdf.pdf,06f36583ae428da6d00dc1c3d168867a,9269515,source,needs_ocr,13/13 pages,_reference/PHOTO_CRAFT_ATOMS_WAVE001.md,covered above,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
CARTIER_BRESSON_decisive_moment,/Users/sniper/Downloads/    SNIPED_OS/257683787-Cartier-Bresson-H-1952-the-Decisive-Moment.pdf,940e70f7c134383961b6b44c966cbce1,9729275,source,needs_ocr,24/24 pages,_reference/PHOTO_CRAFT_ATOMS_WAVE001.md,"What is 'the decisive moment' and what two things must coincide in the same instant for a photograph to work? How does Cartier-Bresson say to compose a moving subject, why does he reject darkroom cropping as a fix, when should the photographer think versus shoot, how should you approach people for honest pictures, and what is the proper relation of technique and the photographer's ego to the act of witnessing?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
ERNST_HAAS_pdfcoffee,/Users/sniper/Downloads/    SNIPED_OS/pdfcoffee.com_ernst-haas-pdf-free.pdf,e0dd9615c693ab88f3356b0f22972110,787527,source,needs_visual_review,18/18 pages,_reference/PHOTO_CRAFT_ATOMS_WAVE001.md,"How did Ernst Haas use motion blur, saturated color, backlight, abstraction-by-closeness, and weather/light-as-subject to make a photograph express feeling rather than record a thing?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
ALMA_DROP_ENGINE_DECK,/Users/sniper/Downloads/    SNIPED_OS/05_PRODUCTION/post_pipeline/SHOOTS/_TEST_alma-love_proof/CAMPAIGN_DIRECTION/ALMA_DROP_ENGINE_DECK.pdf,b0869a798def94a131ff13c82bbb4b17,1275126,source,needs_ocr,7/7 pages,OS_GAP_CLOSURE_WAVE_001/DECK_SUMMARY.md,"What are the two gates every Alma Love Club hero must clear before it ships, and what is the rule if it fails? (Answer: Physics and art direction, then Platform mastering; if it does not pass, it does not ship.)",DO_NOT_DELETE,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
A1_coldoutreach_b2,/Users/sniper/Downloads/    SNIPED_OS/99_VAULT/_corpus_inventory/review_completion_work/b2_txt/cold_out_reach_instantly_gold_everything_use_this_alway.txt,f89e92f548303e3fe27c774f72752a22,42028,source,not_read,1 file whole-read (~6.5k words),_reference/COLD_OUTREACH_ATOMS.md,Recall a cold-outreach atom unique to A1 (e.g. Million Verifier).,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
A2_coldoutreach_docx,/Users/sniper/Downloads/    SNIPED_OS/99_VAULT/_corpus_inventory/review_completion_work/docx_txt/cold_out_reach_instantly_gold_everything_use_this_.txt,d03f719b3f857d9dcadbd22d149401e6,1246576,source,not_read,39/39 segments whole-read (~187k words),_reference/COLD_OUTREACH_ATOMS.md,Recall the allbound model / Sales Brain pattern.,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
