name,description,keywords,best_for,css_properties,avoid_with,example_sites
Vaporwave,"Purple/pink gradients, Roman busts, glitch effects, 90s nostalgia","vaporwave aesthetic retro 90s purple pink glitch nostalgia","Music, art, fashion, streetwear, entertainment, creative projects","background: linear-gradient(135deg, #a855f7, #ec4899, #06b6d4); text-shadow: 2px 2px #ff00ff","Corporate, healthcare, government, education, finance","Music label sites, streetwear brands"
Memphis,"Bold geometric shapes, squiggly lines, primary colors, 80s design","memphis geometric bold shapes squiggly 80s pattern","Creative agencies, design studios, events, youth brands, pop-ups","background-image: url(squiggles.svg); border: 3px solid #ff3366; transform: rotate(-3deg)","Law firms, banks, hospitals, insurance, B2B","Design studio portfolios, pop-up event sites"
Swiss Design,"Strict grid systems, Helvetica, asymmetric layouts, functional clarity","swiss international grid helvetica clean functional modernist","Design agencies, architecture, museums, tech companies, portfolios","font-family: 'Helvetica Neue'; display: grid; grid-template-columns: repeat(12, 1fr); text-align: left","Whimsical brands, children's, entertainment, handmade products","MOMA, design agency portfolios"
Material Design,"Layered surfaces, elevation shadows, purposeful motion, systematic color","material google layers shadow elevation systematic","Android apps, Google ecosystem, enterprise tools, dashboards","box-shadow: 0 2px 4px rgba(0,0,0,0.1); border-radius: 8px; transition: box-shadow 0.2s ease","Luxury brands, fashion, artisanal products, creative portfolios","Google products, Android apps"
Flat Design,"Zero depth, solid colors, simple icons, clean typography","flat solid simple clean modern no-shadow minimal","Mobile apps, icon systems, infographics, government, educational","border: none; box-shadow: none; background: #3498db; color: white; border-radius: 4px","Luxury, premium products, photography, immersive experiences","Microsoft Metro, early iOS 7"
Skeuomorphism,"Real-world textures, realistic shadows, tactile interfaces","skeuo realistic texture leather wood metal tactile","Music production, note-taking, reading apps, nostalgic designs","background-image: url(leather-texture.jpg); box-shadow: inset 0 2px 4px rgba(0,0,0,0.3); border: 1px solid #8b7355","Minimalist brands, tech-forward companies, developer tools","Apple pre-iOS7, GarageBand"
Cyberpunk,"Neon on dark, glitch effects, high contrast, futuristic dystopian","cyberpunk neon glitch dark futuristic dystopian tech","Gaming, esports, tech events, sci-fi, entertainment","background: #0a0a0a; color: #00ff41; text-shadow: 0 0 8px #00ff41; border: 1px solid #00ff41","Healthcare, children's, government, professional services","CD Projekt Red, cyberpunk game sites"
Japandi,"Japanese minimalism meets Scandinavian warmth, muted tones, natural materials","japandi japanese scandinavian minimal warm natural zen","Furniture, interior design, wellness, tea brands, boutique hotels","background: #f5f0eb; color: #2d2926; font-family: 'Noto Sans JP'; padding: 60px; line-height: 1.9","Gaming, nightlife, tech startups, children's, fast food","Muji, Kinfolk magazine"
Mid-Century Modern,"Retro 50s/60s aesthetics, atomic shapes, warm palette, vintage typography","midcentury retro vintage 50s 60s atomic warm","Furniture brands, retro diners, vintage shops, design studios","font-family: 'Futura'; color: #c35831; background: #faf3e3; border-radius: 0","Modern tech, gaming, social media, SaaS tools","West Elm, vintage furniture shops"
Bauhaus,"Primary colors, geometric shapes, functional typography, form follows function","bauhaus geometric primary functional modernist art school","Art schools, museums, architecture, design education, galleries","font-family: 'DIN'; color: #cc0000; background: #f5f5dc; border: 2px solid black","Whimsical brands, luxury lifestyle, romantic, children's","Bauhaus Archive, design education sites"
Grunge,"Distressed textures, torn paper, ink splatter, raw typography","grunge distressed texture torn raw punk dirty","Music labels, skateboarding, streetwear, underground culture","background-image: url(paper-texture.png); font-family: 'Rock Salt'; opacity: 0.9; mix-blend-mode: multiply","Corporate, healthcare, luxury, clean brands, government","Band websites, skateboard brand sites"
Watercolor,"Soft painted backgrounds, flowing color bleeds, artistic hand-made feel","watercolor painted artistic soft flowing handmade","Wedding planners, florists, artists, bakeries, stationery, invitations","background-image: url(watercolor-wash.png); opacity: 0.8; font-family: 'Cormorant Garamond'","Tech companies, gaming, fintech, enterprise, legal","Wedding invitation sites, artist portfolios"
Neon Glow,"Bright neon colors on dark backgrounds, glowing borders, electric feel","neon glow electric bright dark nightlife vibrant","Nightclubs, gaming, music festivals, bars, entertainment venues","text-shadow: 0 0 10px #ff00de, 0 0 20px #ff00de; border: 2px solid #ff00de; background: #0d0d0d","Healthcare, daytime businesses, children's, professional services","Nightclub sites, gaming tournament pages"
Pastel Soft,"Light pastel color palette, soft shadows, rounded corners, gentle feel","pastel soft light gentle sweet cute calming","Baby products, skincare, wellness apps, stationery, light SaaS tools","background: #fce4ec; color: #5d4037; border-radius: 20px; box-shadow: 0 4px 12px rgba(0,0,0,0.05)","Heavy industry, legal, enterprise B2B, dark-themed products","Glossier, baby brand sites"
Monochrome,"Single color with various shades, high contrast, typographic focus","monochrome single-color black white grayscale minimal","Photography portfolios, fashion, architecture, editorial, art galleries","background: #000; color: #fff; --mid: #666; filter: grayscale(100%)","Children's brands, food/restaurant, colorful product lines","High-fashion portfolios, architecture firms"
Gradient Mesh,"Complex multi-color gradients, flowing color transitions, vibrant backgrounds","gradient mesh colorful flowing vibrant aurora blend","Creative tools, AI/ML products, music streaming, social apps","background: conic-gradient(from 180deg, #ff0080, #7928ca, #0070f3, #00dfd8, #ff0080)","Conservative brands, legal, government, healthcare","Stripe, Apple Music"
Aurora,"Northern lights inspired, flowing color bands, ethereal glow effects","aurora lights ethereal glow flowing cosmic magical","AI products, space/astronomy, wellness, premium SaaS, creative tools","background: linear-gradient(135deg, #667eea 0%, #764ba2 50%, #f093fb 100%); animation: aurora 8s ease infinite","Fast food, construction, budget brands, traditional industries","AI startup landing pages, music apps"
Holographic,"Rainbow reflective surfaces, prismatic colors, foil-like effects","holographic prismatic rainbow foil iridescent reflective","Fashion, beauty, music, Gen-Z brands, NFT/crypto, collectibles","background: linear-gradient(135deg, #f5f7fa 0%, #c3cfe2 100%); animation: holo-shift 3s ease infinite","Corporate enterprise, government, healthcare, education","Fashion brand product pages, NFT marketplaces"
Paper Cut,"Layered paper effect with shadows between layers, depth through stacking","paper cut layers depth stacking craft paper shadow","Children's education, craft brands, stationery, publishing, bookstores","box-shadow: 0 1px 3px rgba(0,0,0,0.12), 0 4px 8px rgba(0,0,0,0.06); background: #fafafa; border-radius: 2px","Tech startups, gaming, nightlife, dark-themed sites","Google Material, Dropbox Paper"
Isometric,"3D isometric illustrations, angled grid, dimensional objects","isometric 3d illustration dimensional grid angle","Tech companies, SaaS explainers, infographics, process visualization","transform: rotateX(60deg) rotateZ(-45deg); perspective: 1000px","Photography, editorial, minimal portfolios, text-heavy sites","Notion illustrations, tech company landing pages"
Pixel Art,"8-bit retro pixel aesthetic, blocky graphics, game-inspired","pixel 8bit retro game blocky nostalgic arcade","Indie games, retro brands, developer portfolios, creative studios","image-rendering: pixelated; font-family: 'Press Start 2P'; font-size: 10px","Luxury, healthcare, finance, professional services, enterprise","Indie game sites, retro-themed portfolios"
Line Art,"Thin line illustrations, wireframe aesthetic, technical drawing feel","line art wireframe thin illustration technical drawing","Architecture, engineering, product design, technical documentation","stroke: #333; stroke-width: 1px; fill: none; font-family: 'IBM Plex Sans'","Children's, bold/colorful brands, entertainment, food","Architecture firm sites, technical product pages"
Hand Drawn,"Sketch-like elements, imperfect lines, personal handwritten feel","handdrawn sketch personal imperfect charming quirky","Personal blogs, indie brands, cafes, artisan products, NGOs","font-family: 'Caveat'; border: 2px dashed #333; transform: rotate(-1deg)","Corporate enterprise, fintech, legal, government, healthcare","Indie brand sites, personal portfolios"
Tropical,"Lush greens, bright florals, bold palm patterns, vibrant warm colors","tropical palm botanical lush vibrant warm paradise","Resorts, travel agencies, beach bars, tropical products, summer events","background-image: url(palm-pattern.svg); color: #1a5632; background-color: #f0fff0","Tech, finance, winter products, minimalist brands","Resort websites, tropical product brands"
Nordic,"Cool whites, pale blues, clean lines, cozy warmth, nature-inspired","nordic scandinavian cool clean cozy hygge natural","Furniture, home goods, wellness, sustainable brands, coffee shops","background: #f8f9fa; color: #2d3436; font-family: 'Inter'; padding: 48px; border-radius: 8px","Gaming, nightlife, tropical, bold/vibrant brands","IKEA, Scandinavian design shops"
Bohemian,"Rich textures, layered patterns, warm earth tones, eclectic mix","boho bohemian eclectic textured layered warm earthy","Fashion boutiques, yoga studios, artisan markets, home decor, wellness","background: #fdf6ec; font-family: 'Libre Baskerville'; color: #5c4033; border: 1px solid #d4a574","Tech, gaming, corporate, automotive, finance","Anthropologie, Free People"
Steampunk,"Victorian meets industrial, brass gears, clock mechanisms, leather textures","steampunk victorian brass gears industrial mechanical vintage","Games, themed events, alternative fashion, creative projects","background: #2c1810; color: #d4a574; font-family: 'Cinzel'; border: 2px solid #8b6914","Modern SaaS, healthcare, children's, government, education","Steampunk event sites, themed game UIs"
Cosmic,"Deep space backgrounds, star fields, planet imagery, vast and expansive","cosmic space galaxy stars planets vast infinite","Astronomy, space tech, sci-fi events, meditation apps, planetariums","background: radial-gradient(ellipse at center, #0d1117, #000); color: #c9d1d9; text-shadow: 0 0 4px rgba(255,255,255,0.3)","Food, fashion, legal, traditional businesses, budget brands","SpaceX, NASA, astronomy apps"
Underwater,"Deep blue gradients, flowing animations, marine biology aesthetic","underwater ocean marine deep blue aquatic flowing","Aquariums, marine conservation, diving companies, beach resorts, seafood","background: linear-gradient(180deg, #0077b6, #023e8a, #03045e); color: #caf0f8; animation: wave 4s ease infinite","Desert brands, fire-related, indoor/warm products","Aquarium sites, marine conservation NGOs"
Geometric,"Strong geometric shapes, patterns, mathematical precision, angular","geometric angular shapes math precision pattern structured","Architecture, design studios, tech companies, data visualization","clip-path: polygon(50% 0%, 100% 100%, 0% 100%); background: repeating-linear-gradient(45deg, transparent, transparent 10px, #f0f0f0 10px, #f0f0f0 20px)","Organic brands, wellness, children's, handmade products","Architecture firms, data viz companies"
Abstract Expressionism,"Bold color splashes, artistic chaos, emotional intensity, painterly","abstract expressionist art bold splash emotional painterly","Art galleries, creative agencies, fashion, music, culture magazines","background-image: url(paint-splash.svg); mix-blend-mode: multiply; filter: contrast(1.2)","Corporate, healthcare, government, education, finance","Art gallery sites, culture magazines"
Pop Art,"Bold outlines, comic dots, primary colors, Warhol/Lichtenstein inspired","pop art comic dots bold primary warhol retro","Fashion, entertainment, youth brands, creative agencies, events","border: 3px solid black; background: #fff200; color: black; text-transform: uppercase; letter-spacing: 0.05em","Healthcare, finance, government, luxury, minimalist brands","Pop culture brands, comic-inspired campaigns"
Art Nouveau,"Flowing organic curves, natural forms, ornate decorations, asymmetric","art nouveau organic curves ornate flowing botanical decorative","Boutique hotels, wine brands, theaters, jewelry, fine arts","font-family: 'Cormorant Garamond'; border-image: url(nouveau-border.svg); letter-spacing: 0.1em","Tech startups, gaming, budget brands, fast food, modern SaaS","Theater sites, boutique hotel pages"
Gothic,"Dark dramatic, pointed arches, ornamental, medieval-inspired","gothic dark dramatic medieval ornamental mysterious","Dark fashion, horror entertainment, alternative culture, tattoo studios","background: #1a0a0a; color: #c9b99a; font-family: 'Cinzel Decorative'; text-shadow: 1px 1px 2px rgba(0,0,0,0.8)","Children's, healthcare, bright consumer brands, government, food","Dark fashion brands, horror game sites"
Rustic,"Warm wood textures, farmhouse feel, natural materials, vintage charm","rustic farmhouse wood natural vintage warm country","Restaurants, wineries, farms, bed-and-breakfasts, outdoor brands","background: #faf0e6; font-family: 'Lora'; color: #3e2723; border: 1px solid #8d6e63","Tech, gaming, modern SaaS, nightlife, urban brands","Farm-to-table restaurants, winery sites"
Corporate Modern,"Clean professional look, structured grids, brand-forward, trustworthy","corporate modern professional clean business enterprise trust","Enterprise SaaS, consulting, financial services, B2B, professional services","font-family: system-ui; max-width: 1200px; padding: 24px 32px; border-radius: 8px; box-shadow: 0 1px 3px rgba(0,0,0,0.1)","Creative agencies, gaming, children's, nightlife, artisanal","Salesforce, HubSpot, enterprise landing pages"
Tech Startup,"Bold gradients, large hero sections, social proof, conversion-focused","startup tech bold gradient hero conversion modern","SaaS launches, tech products, app landing pages, startup MVPs","background: linear-gradient(135deg, #667eea, #764ba2); font-size: clamp(2rem, 5vw, 4rem); padding: 120px 0","Traditional businesses, luxury, vintage, artisanal, conservative","Stripe, Vercel, Linear"
Dashboard UI,"Dense information, data cards, sidebar navigation, functional layout","dashboard admin panel data dense functional ui","Admin panels, analytics, CRM, project management, monitoring tools","display: grid; gap: 16px; background: #f9fafb; border: 1px solid #e5e7eb; border-radius: 8px; padding: 16px","Marketing sites, portfolios, creative content, storytelling","Grafana, Notion, Linear admin"
E-commerce Grid,"Product cards, filter sidebars, cart UIs, review sections","ecommerce shop product grid cart buy retail","Online stores, marketplaces, product catalogs, retail sites","display: grid; grid-template-columns: repeat(auto-fill, minmax(240px, 1fr)); gap: 24px","Blogs, portfolios, documentation, SaaS tools","Shopify stores, Amazon, ASOS"
Split Screen,"Two halves with contrasting content, dramatic visual divide","split screen half contrast divide dramatic dual","Product comparisons, before/after, image+text pairings, landing pages","display: grid; grid-template-columns: 1fr 1fr; min-height: 100vh","Dense data dashboards, multi-section content, mobile-first","Fashion lookbooks, product showcases"
Full Bleed Media,"Full-viewport images or videos, immersive visual storytelling","fullbleed immersive video hero visual cinematic","Photography, real estate, travel, luxury, automotive, film","width: 100vw; height: 100vh; object-fit: cover; position: relative","Text-heavy content, data dashboards, accessibility-critical","Tesla, luxury real estate, travel sites"
Parallax Storytelling,"Scroll-driven animations, layered depth, narrative progression","parallax scroll story layers depth narrative animated","Brand stories, product journeys, annual reports, interactive guides","transform: translateZ(-1px) scale(2); perspective: 1px; overflow-x: hidden","E-commerce, dashboards, documentation, quick-scan content","Apple product launches, interactive narratives"
