name,heading_font,body_font,google_fonts_url,keywords,best_for,pairing_reason
Vintage Charm,"Lora","Karla","https://fonts.google.com/share?selection.family=Karla:wght@400;500|Lora:wght@500;700",vintage classic charm warm serif,Restaurants and boutiques and vintage brands and artisan,Brushed serif heading has character while geometric sans body is modern
Bold Impact,"Anton","Work Sans","https://fonts.google.com/share?selection.family=Anton|Work+Sans:wght@400;500",bold impact strong condensed powerful,Sports and fitness and events and bold campaigns,Ultra-bold condensed heading creates impact with balanced sans body
Humanist Warm,"Libre Baskerville","Source Sans 3","https://fonts.google.com/share?selection.family=Libre+Baskerville:wght@400;700|Source+Sans+3:wght@400;600",humanist warm readable classic book,Publishing and blogs and non-profits and education,Book-quality serif heading with humanist sans body for long-form readability
Geometric Modern,"Manrope","Manrope","https://fonts.google.com/share?selection.family=Manrope:wght@400;500;700;800",geometric modern versatile clean,SaaS and dashboards and modern interfaces,Versatile geometric family works across UI and marketing with weight contrast
Sharp Tech,"Lexend","Lexend","https://fonts.google.com/share?selection.family=Lexend:wght@400;500;700",sharp tech readable accessible modern,Apps and dashboards and tech and accessibility-focused,Designed for readability with variable width - great for data-dense interfaces
Newspaper Classic,"Libre Baskerville","Libre Franklin","https://fonts.google.com/share?selection.family=Libre+Baskerville:wght@400;700|Libre+Franklin:wght@400;500",newspaper classic editorial authoritative print,News sites and journals and investigative journalism,Classic newspaper pairing with serif headlines and sans body text
Futuristic Clean,"Chakra Petch","Outfit","https://fonts.google.com/share?selection.family=Chakra+Petch:wght@500;700|Outfit:wght@400;500",futuristic tech angular modern,Gaming and esports and sci-fi and tech events,Angular Thai-inspired heading feels futuristic with clean geometric body
Handwritten Personal,"Caveat","Nunito Sans","https://fonts.google.com/share?selection.family=Caveat:wght@500;700|Nunito+Sans:wght@400;600",handwritten personal casual warm,Personal blogs and indie brands and cafes and journals,Handwritten heading adds personality while sans body maintains readability
Brutalist Raw,"Space Mono","Space Grotesk","https://fonts.google.com/share?selection.family=Space+Grotesk:wght@400;500|Space+Mono:wght@400;700",brutalist raw mono technical edgy,Brutalist designs and creative coding and experimental art,Monospace heading with geometric sans body creates intentionally raw aesthetic
Elegant Sans,"Tenor Sans","Jost","https://fonts.google.com/share?selection.family=Jost:wght@400;500|Tenor+Sans",elegant sans modern refined thin,Fashion and architecture and galleries and premium brands,Thin elegant sans heading with geometric body for refined modern look
Rounded Friendly,"Nunito","Nunito Sans","https://fonts.google.com/share?selection.family=Nunito+Sans:wght@400;600|Nunito:wght@600;800",rounded friendly approachable soft,Health and wellness and children's and community platforms,Rounded heading feels approachable while the sans variant stays professional
Art Deco Display,"Poiret One","Raleway","https://fonts.google.com/share?selection.family=Poiret+One|Raleway:wght@400;500",art-deco display decorative elegant thin,Art deco themes and luxury events and boutique brands,Thin decorative heading evokes 1920s glamour with elegant sans body
Industrial Strong,"Oswald","Roboto Flex","https://fonts.google.com/share?selection.family=Oswald:wght@500;700|Roboto+Flex:wght@400;500",industrial strong condensed bold,Manufacturing and construction and sports and industrial,Condensed bold heading conveys strength with flexible body font
Academic Serious,"Crimson Pro","Lato","https://fonts.google.com/share?selection.family=Crimson+Pro:wght@500;700|Lato:wght@400;700",academic serious scholarly professional,Universities and research and academic and legal,Scholarly serif heading with clean body bridges tradition and modernity
Hipster Craft,"Josefin Sans","Poppins","https://fonts.google.com/share?selection.family=Josefin+Sans:wght@600;700|Poppins:wght@400;500",hipster craft modern vintage artisan,Coffee shops and craft brands and breweries and boutiques,Geometric vintage-modern heading with popular geometric body
Dashboard Data,"Geist Sans","Geist Mono","https://fonts.google.com/share?selection.family=Geist+Mono:wght@400|Geist+Sans:wght@400;500;700",dashboard data ui system interface,Dashboards and admin panels and data tools and analytics,System-optimized heading with mono for data creates clear interface hierarchy
Dramatic Contrast,"DM Serif Display","DM Sans","https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500|DM+Serif+Display",dramatic contrast serif elegant impact,Fashion and editorial and luxury and brand campaigns,Dramatic serif display contrasts with its sans sibling for striking harmony
Minimal Japanese,"Zen Kaku Gothic New","Zen Kaku Gothic New","https://fonts.google.com/share?selection.family=Zen+Kaku+Gothic+New:wght@400;500;700",japanese minimal zen clean,Japandi designs and tea brands and minimal aesthetic,Japanese-optimized font brings zen quality to English text through proportions
Sporty Dynamic,"Barlow Condensed","Barlow","https://fonts.google.com/share?selection.family=Barlow+Condensed:wght@600;800|Barlow:wght@400;500",sporty dynamic condensed active bold,Sports and fitness and outdoor and active brands,Condensed heading feels dynamic while regular width body stays readable
Whimsical Creative,"Baloo 2","Poppins","https://fonts.google.com/share?selection.family=Baloo+2:wght@600;800|Poppins:wght@400;500",whimsical creative fun playful bold,Children's apps and games and creative brands and party,Playful rounded heading with geometric body balances fun and function
Retro Mono,"Press Start 2P","IBM Plex Mono","https://fonts.google.com/share?selection.family=IBM+Plex+Mono:wght@400;500|Press+Start+2P",retro pixel mono gaming 8bit,Retro gaming and pixel art and developer side projects,Pixel heading is retro fun while professional mono body stays readable
Clean Corporate,"Figtree","Figtree","https://fonts.google.com/share?selection.family=Figtree:wght@400;500;600;700",clean corporate friendly modern,Corporate sites and business and professional services,Single friendly geometric family creates clean professional hierarchy
Architectural,"Bebas Neue","Barlow","https://fonts.google.com/share?selection.family=Barlow:wght@400;500|Bebas+Neue",architectural bold uppercase condensed,Architecture and real estate and construction and design,All-caps condensed heading is architectural while body is grounded
Luxury Script,"Great Vibes","Montserrat","https://fonts.google.com/share?selection.family=Great+Vibes|Montserrat:wght@400;500",script luxury elegant wedding calligraphy,Weddings and luxury invitations and beauty brands,Script heading is luxurious while geometric sans keeps it legible
Tech Documentation,"Fira Code","Fira Sans","https://fonts.google.com/share?selection.family=Fira+Code:wght@400;500|Fira+Sans:wght@400;500",tech documentation code developer,Documentation and developer portals and API references,Code-ligature heading with its sans sibling for technical consistency
Vibrant Display,"Rubik","Rubik","https://fonts.google.com/share?selection.family=Rubik:wght@400;500;700;900",vibrant versatile rounded modern,Apps and SaaS and marketing and versatile projects,Slightly rounded family with wide weight range creates energetic hierarchy
Nordic Clean,"Albert Sans","Albert Sans","https://fonts.google.com/share?selection.family=Albert+Sans:wght@400;500;700",nordic clean minimal scandinavian,Nordic brands and minimal sites and clean products,Scandinavian-inspired geometric sans for clean Nordic aesthetic
Storytelling,"Fraunces","Commissioner","https://fonts.google.com/share?selection.family=Commissioner:wght@400;500|Fraunces:wght@500;700",storytelling warm narrative editorial,Long-form content and storytelling and narrative brands,Warm variable serif heading with humanist body for engaging narratives
Magazine Bold,"Abril Fatface","Poppins","https://fonts.google.com/share?selection.family=Abril+Fatface|Poppins:wght@400;500",magazine bold fatface display editorial,Fashion magazines and bold editorial and lifestyle,Ultra-bold display heading commands attention with popular geometric body
Professional Serif,"Spectral","Spectral","https://fonts.google.com/share?selection.family=Spectral:wght@400;500;700",professional serif readable elegant,Legal and academic and publishing and traditional,Single serif family with weight variation for traditional professional look
E-commerce Clear,"Urbanist","Urbanist","https://fonts.google.com/share?selection.family=Urbanist:wght@400;500;600;700",ecommerce clear modern shopping product,E-commerce and product pages and retail and shopping,Clean geometric family optimized for product-focused layouts
News Impact,"Bitter","Source Sans 3","https://fonts.google.com/share?selection.family=Bitter:wght@500;700|Source+Sans+3:wght@400;600",news impact slab serif journalism,News sites and journalism and media and reporting,Slab serif heading has impact while clean sans body flows for reading
SaaS Confident,"General Sans","General Sans","https://fonts.google.com/share?selection.family=General+Sans:wght@400;500;600;700",saas confident modern geometric clean,SaaS products and tech companies and modern apps,Confident geometric family with distinctive character for tech brands - note: use CDN not Google Fonts
Cozy Readable,"Vollkorn","Lato","https://fonts.google.com/share?selection.family=Lato:wght@400;700|Vollkorn:wght@500;700",cozy readable warm serif book,Blogs and book sites and cozy brands and reading apps,Warm readable serif heading with friendly sans body for content comfort
Agency Portfolio,"Clash Display","Satoshi","https://fonts.google.com/share?selection.family=Clash+Display:wght@500;700|Satoshi:wght@400;500",agency portfolio creative bold,Design agencies and creative portfolios and studios,Bold display heading shows creativity while body maintains professionalism - note: use CDN not Google Fonts
Hero Statement,"Unbounded","Outfit","https://fonts.google.com/share?selection.family=Outfit:wght@400;500|Unbounded:wght@500;700",hero bold statement rounded modern,Landing pages and campaigns and bold statements,Rounded bold heading makes statements while clean body supports readability
Eco Natural,"Gilda Display","Karla","https://fonts.google.com/share?selection.family=Gilda+Display|Karla:wght@400;500",eco natural organic elegant serif,Eco brands and natural products and sustainability,Elegant organic serif heading with geometric sans body bridges nature and modern
Data Dense,"Red Hat Display","Red Hat Text","https://fonts.google.com/share?selection.family=Red+Hat+Display:wght@500;700|Red+Hat+Text:wght@400;500",data dense dashboard compact readable,Data dashboards and analytics and dense information UIs,Red Hat family designed for UI density with display and text optical sizes
Boutique Chic,"Bodoni Moda","Outfit","https://fonts.google.com/share?selection.family=Bodoni+Moda:wght@500;700|Outfit:wght@400;500",boutique chic high-contrast serif fashion,Fashion boutiques and chic brands and high-end retail,High-contrast Bodoni heading is fashion-forward with clean modern body
Zen Minimal,"Zen Maru Gothic","Zen Kaku Gothic New","https://fonts.google.com/share?selection.family=Zen+Kaku+Gothic+New:wght@400;500|Zen+Maru+Gothic:wght@500;700",zen minimal japanese rounded calm,Zen brands and wellness and tea and mindfulness,Rounded Japanese heading with angular body creates balanced serenity
