id,category,rule,description,priority,do_example,dont_example
T4,touch-interaction,Adequate spacing between touch targets,Touch targets need minimum 8px gap between them to prevent misclicks,HIGH,Button group with gap: 8px minimum between each button,Navigation links with 2px gaps causing frequent misclicks on mobile
T5,touch-interaction,Swipe gestures need visual affordance,If swipe actions exist provide visual hints like partial next-item visibility,MEDIUM,Carousel shows 10% of next card peeking from the edge,Full-width carousel cards with no indication more content exists
T6,touch-interaction,No hover-only functionality,Critical actions must not require hover since touch devices have no hover,CRITICAL,Dropdown opens on click/tap not just on hover,Navigation submenu only appears on mouseenter event
P1,performance,Optimize and lazy-load images,Images below the fold should lazy load and all images need proper sizing,HIGH,"<img loading=""lazy"" width=""400"" height=""300"" srcset=""..."">",Full-size 4000px images loaded eagerly for thumbnail displays
P2,performance,Font loading strategy,Use font-display swap and preload critical fonts to prevent layout shift,HIGH,"<link rel=""preload"" href=""font.woff2"" as=""font""> with font-display: swap",Three Google Font families loaded without preload causing FOIT
P3,performance,Minimize layout shift,Reserve space for dynamic content images and ads to prevent CLS,HIGH,Image containers have explicit width/height or aspect-ratio set,Images load and push content down causing visible page jumps
P4,performance,Code split routes,Large applications should split code by route to reduce initial bundle,MEDIUM,Dynamic import() for route components loading only what is needed,Single 2MB JavaScript bundle for entire application
P5,performance,Critical CSS inline,Above-the-fold CSS should be inlined to prevent render blocking,LOW,Critical hero styles inlined in head with rest loaded async,All 200KB of CSS loaded as render-blocking stylesheet
L1,layout,Consistent spacing system,Use a spacing scale (4px or 8px base) consistently throughout the design,HIGH,Spacing uses 8/16/24/32/48/64px consistently matching design tokens,Random spacing like 13px 27px 41px with no system
L2,layout,Maximum content width,Body content should have a max-width (usually 1200-1440px) with centered layout,HIGH,max-width: 1200px with margin: 0 auto for main content,Full-width text spanning 2560px on ultrawide monitors
L3,layout,Responsive breakpoints,Design must adapt to mobile (320px) tablet (768px) and desktop (1024px+),CRITICAL,Fluid layout with grid that stacks on mobile and expands on desktop,Fixed 1200px width layout that requires horizontal scroll on mobile
L4,layout,Fixed navbar on scroll,Navigation should remain accessible especially on long pages,MEDIUM,Sticky header with position: sticky; top: 0 and subtle shadow on scroll,Navigation scrolls away on a long page forcing scroll-to-top to navigate
L5,layout,Floating elements need context,Fixed/floating elements like CTAs must not obscure content on small screens,HIGH,Floating CTA hides on scroll-down appears on scroll-up with close option,Fixed bottom CTA covering 20% of mobile viewport permanently
L6,layout,Z-index management,Use a systematic z-index scale to prevent stacking context conflicts,MEDIUM,Z-index scale: base 0 dropdown 100 sticky 200 modal 300 toast 400,Random z-index values like 9999 and 99999 fighting each other
L7,layout,Card grid alignment,Cards in a grid must have consistent height and aligned content,HIGH,CSS grid with equal height cards and content aligned with flexbox,Cards of different heights creating ragged grid layout
L8,layout,Sidebar layout patterns,Sidebars should have consistent width and collapse properly on mobile,MEDIUM,240px sidebar collapses to hamburger menu below 768px breakpoint,Fixed sidebar that overlaps content on tablet-size screens
R1,responsive,Mobile-first approach,Build from smallest screen up adding complexity at larger breakpoints,HIGH,Base styles for mobile then @media (min-width: 768px) adds columns,Desktop layout crammed into mobile with overflow and tiny text
R2,responsive,Touch-friendly on mobile,Increase padding and target sizes on touch devices,HIGH,Buttons get extra padding on mobile: padding: 16px 32px at small breakpoints,Same 8px padding buttons on mobile and desktop
R3,responsive,Responsive typography,Font sizes should scale with viewport using clamp() or fluid values,HIGH,font-size: clamp(1rem and 2vw and 1.5rem) for fluid scaling,Fixed 48px heading that dominates mobile screens
R4,responsive,Test at 320px width,Designs must not break at 320px which is the smallest common viewport,HIGH,Content wraps gracefully and remains readable at 320px,Text or buttons overflow viewport at 320px causing horizontal scroll
R5,responsive,Responsive images,Serve appropriately sized images for each viewport with srcset,MEDIUM,"<img srcset=""hero-400.jpg 400w, hero-800.jpg 800w"" sizes=""100vw"">",Single 2400px hero image served to all devices
TY1,typography,Line height for readability,Body text should have line-height between 1.5 and 1.8 for comfortable reading,HIGH,p { line-height: 1.6; } for body text,p { line-height: 1.1; } making lines feel cramped
TY2,typography,Maximum line length,Text blocks should not exceed 65-75 characters per line for readability,HIGH,max-width: 65ch on paragraph elements,Full-width paragraphs spanning 120+ characters per line
TY3,typography,Minimum body font size,Body text should be at least 16px (1rem) for comfortable reading,HIGH,font-size: 16px (1rem) for body with larger for less sharp displays,font-size: 12px body text requiring users to zoom
TY4,typography,Heading hierarchy visual weight,Each heading level should be visually distinct from adjacent levels,HIGH,h1: 48px bold / h2: 36px semibold / h3: 24px medium with clear steps,h1: 24px and h2: 22px with barely noticeable difference
TY5,typography,Font loading fallback,Specify system font fallbacks that match metrics to prevent layout shift,MEDIUM,"font-family: 'Inter', -apple-system, BlinkMacSystemFont, sans-serif",font-family: 'CustomFont' with no fallback causing invisible text
AN1,animation,Entrance animations,Elements should animate in once on viewport entry not continuously,MEDIUM,Cards fade in with translateY on first intersection observer trigger,Cards constantly bouncing in an infinite animation loop
AN2,animation,Transition duration 150-300ms,UI transitions should be 150-300ms and page transitions 300-500ms,HIGH,transition: all 0.2s ease for hover states,transition: all 2s ease making the interface feel sluggish
AN3,animation,No animation on page load,Avoid animating large sections on initial page load which delays usability,MEDIUM,Hero content is visible immediately with subtle fade on secondary elements,Entire page animates in over 3 seconds before user can interact
AN4,animation,Easing functions matter,Use ease-out for entrances ease-in for exits and ease-in-out for state changes,LOW,transform with transition-timing-function: ease-out for elements entering view,Linear timing on all animations creating robotic mechanical movement
AN5,animation,Loading state animations,Show skeleton screens or spinners during content loading,HIGH,Skeleton loader with pulsing animation matching content layout shape,Blank white screen while content loads with no loading indication
AN6,animation,Scroll-triggered animations should be subtle,Scroll animations should enhance not distract from content consumption,MEDIUM,Subtle 20px translateY with opacity fade on section entry,Aggressive 200px slide with rotation and scale on every element
S1,style,No emoji as functional icons,Never use emoji characters as UI icons - use proper SVG icon libraries,HIGH,Lucide or Heroicons SVG icon for checkmark or arrow or menu,Using emoji characters for navigation menu buttons or status indicators
S2,style,Consistent icon style,All icons should come from one library or have matching stroke weight and size,HIGH,All icons from Lucide React with consistent 24px size and 1.5px stroke,Mixed Font Awesome filled icons with Heroicons outline icons
S3,style,Brand logos not text,Show company or product logos as proper SVG images not styled text,MEDIUM,<svg> logo mark with proper viewBox scaling,Company name in a styled <span> pretending to be a logo
S4,style,Consistent border radius,Use a single border-radius scale throughout the design system,HIGH,Radius scale: sm 4px / md 8px / lg 12px / xl 16px / full 9999px,Random radius values: 3px here then 7px there then 11px elsewhere
S5,style,Shadow system,Use consistent elevation shadows from a defined scale,MEDIUM,shadow-sm/md/lg/xl tokens used consistently for elevation,Random box-shadow values with different colors and spreads everywhere
S6,style,Color token system,Define colors as semantic tokens not raw values throughout the codebase,HIGH,Using var(--color-primary) and var(--color-text) semantic tokens,Hardcoded #3b82f6 scattered across 47 different files
DM1,dark-mode,Dark mode contrast,Dark backgrounds need lighter borders and adjusted shadow opacity,HIGH,Dark cards: bg-zinc-900 border border-zinc-800 with subtle rgba shadow,Dark cards with no border making elements blend into background
DM2,dark-mode,Dark mode image treatment,Images may need reduced brightness or adjusted background in dark mode,MEDIUM,Images get subtle brightness(0.9) filter in dark mode,Bright white product images blinding users in dark mode
DM3,dark-mode,Dark mode color adjustments,Saturated colors from light mode need desaturation for dark backgrounds,MEDIUM,Primary blue shifts from #2563eb to #60a5fa for dark mode,Same bright #2563eb on dark background creating harsh vibrating contrast
DM4,dark-mode,Dark background selection,Use dark gray (#0a0a0b to #18181b) not pure black (#000) for main backgrounds,HIGH,background: #0f0f10 for dark mode base,background: #000000 causing maximum contrast strain on eyes
F1,forms,Inline validation feedback,Show validation state as user completes fields not only on submit,HIGH,Email field shows green checkmark after valid email is typed,All errors only appear after clicking submit
F2,forms,Error messages are specific,Error messages should say what went wrong and how to fix it,HIGH,"Password must be at least 8 characters with one number","Invalid input"
F3,forms,Labels above inputs,Place labels above input fields not to the side for consistent mobile layout,HIGH,Label stacked above input with 4px gap between them,Side-by-side label and input that breaks on mobile
F4,forms,Disabled state clarity,Disabled elements must be visually distinct with reduced opacity and tooltip explaining why,MEDIUM,opacity: 0.5 with cursor: not-allowed and title explaining requirement,Disabled button that looks the same as enabled but does nothing on click
F5,forms,Multi-step progress indicator,Long forms should show progress and allow navigation between completed steps,MEDIUM,Step indicator: Step 1 of 4 with clickable completed step dots,20-field form on single page with no progress indication
N1,navigation,Clear current page indicator,Navigation must clearly show the current active page or section,HIGH,Active nav link with bold weight and bottom border indicator,All nav links look identical with no active state
N2,navigation,Breadcrumb for deep pages,Pages more than 2 levels deep should have breadcrumb navigation,MEDIUM,Home > Products > Category > Product Name as clickable breadcrumb,Product detail page with no way to navigate back to category
N3,navigation,Mobile hamburger menu,Navigation should collapse to accessible hamburger menu on mobile,HIGH,Hamburger icon that opens full-screen nav overlay on mobile,Desktop navigation wrapping to 3 lines on mobile screens
N4,navigation,Mega menu for many items,Navigation with 20+ items needs organized mega menu not a long dropdown,LOW,Categorized mega menu with sections and featured items,Single dropdown list with 35 unsorted navigation links
LS1,loading-states,Skeleton loading screens,Show skeleton placeholder matching content layout during data fetching,HIGH,Gray pulsing rectangles matching card layout while data loads,Blank page with only a small spinner in the center
LS2,loading-states,Optimistic updates,UI should update immediately on user action before server confirmation,MEDIUM,Like button fills immediately then reverts only if server request fails,Like button shows spinner for 2 seconds waiting for server response
LS3,loading-states,Progress for long operations,Operations taking more than 3 seconds need a progress indicator,HIGH,File upload shows progress bar with percentage and estimated time,File upload shows only spinning wheel with no progress indication
E1,empty-states,Helpful empty states,Empty views should guide users on what to do next with illustration and CTA,HIGH,"Empty inbox illustration with text: No messages yet and a Compose button",Blank white page with only the text: No data
E2,empty-states,Error states with recovery,Error pages should explain what happened and offer a path forward,HIGH,Error page with description and Retry button plus link to home page,Generic 500 page with only: Something went wrong
E3,empty-states,Zero state onboarding,First-time users should see guided empty states not bare interfaces,MEDIUM,New dashboard shows Welcome card with 3 setup steps and sample data option,Empty dashboard with no guidance on first login
MD1,modals,Modal close options,Modals must close via X button Escape key and backdrop click,HIGH,Modal has X button closes on Escape keypress and closes on overlay click,Modal only closes via a small X button in the corner
MD2,modals,Modal focus trap,When modal is open focus must be trapped inside the modal,HIGH,Tab cycles through modal elements only and returns focus on close,Tab key moves focus to elements behind the modal overlay
MD3,modals,Confirm destructive actions,Destructive actions like delete need a confirmation dialog with clear language,HIGH,"Dialog: Delete project? This cannot be undone. [Cancel] [Delete]",Single click on Delete immediately removes item with no confirmation
TB1,tables,Responsive tables,Tables must remain usable on mobile via horizontal scroll or card transformation,HIGH,Table scrolls horizontally in a container on mobile with fixed first column,Table breaks layout on mobile with columns overlapping
TB2,tables,Sortable column indicators,Sortable table columns need visual affordance showing sort direction,MEDIUM,Column header with arrow icon showing current sort direction on click,Sortable columns with no visual indication they are sortable
TB3,tables,Row hover and selection,Table rows should have hover state and clear selection indicator if selectable,MEDIUM,Rows highlight on hover with checkbox selection and blue selected state,Plain table with no hover states and no visible selection
BTN1,buttons,Button hierarchy,Pages should have one primary CTA with secondary and ghost button variants,HIGH,Primary filled button for main action with outline button for secondary,Three identical-looking primary buttons competing for attention
BTN2,buttons,Button loading state,Buttons should show loading state and prevent double submission on click,HIGH,Button shows spinner and disables during form submission,Button remains clickable during submission causing duplicate requests
BTN3,buttons,Icon + label alignment,Buttons with icons should have consistent gap and alignment,MEDIUM,flex items-center gap-2 with icon and text vertically centered,Icon and text misaligned with inconsistent spacing
SR1,search,Search result feedback,Show result count and highlight matched terms in search results,MEDIUM,"Showing 23 results for 'dashboard' with matched term highlighted","Search returns results with no count or highlight"
SR2,search,Empty search guidance,"When search returns no results suggest alternatives or corrections",MEDIUM,"No results for 'dashbord'. Did you mean 'dashboard'? or try browsing categories",Empty results page with only: No results found
PG1,pagination,Clear pagination state,Show current page total pages and allow direct page navigation,MEDIUM,Page 3 of 12 with numbered page buttons and prev/next arrows,Only Next button with no indication of total pages or current position
IS1,infinite-scroll,Scroll position preservation,Infinite scroll must preserve scroll position on back navigation,HIGH,Returning to list page restores previous scroll position and loaded items,Going back to list reloads from the top losing user position
IS2,infinite-scroll,End of content indicator,Infinite scroll needs a clear end-of-content indicator,MEDIUM,"Footer appears with: You've reached the end with load count",Content just stops loading with no indication the list is complete
