name,palette_hex,keywords,best_for,mood,accessibility_notes
Government Official,"#0c2340 #1b3a5c #4a7fb5 #d1dce6 #f5f7fa",government official blue formal institutional,Government portals and institutions and public services,Formal and trustworthy and accessible,WCAG AAA compliant across all main combinations
Crypto Bold,"#0a0a0a #1a1a2e #00d4ff #7b61ff #f0f0f0",crypto blockchain bold dark neon digital,Cryptocurrency and blockchain and Web3 and DeFi,Futuristic and bold and innovative,Neon colors pass on dark backgrounds - avoid for body text
AI Gradient,"#0f0f23 #1a1a3e #6366f1 #8b5cf6 #c084fc",ai machine-learning purple gradient intelligent,AI/ML products and data science and tech research,Intelligent and innovative and cutting-edge,Purple gradient needs white text overlay for readability
Sustainability Green,"#064e3b #065f46 #059669 #34d399 #ecfdf5",sustainability green eco environmental clean,Green energy and eco brands and environmental orgs,Clean and hopeful and responsible,#064e3b on #ecfdf5 passes AAA - strong environmental palette
Luxury Gold,"#0a0a0a #1a1a1a #c9a96e #e8d5b7 #faf7f2",luxury gold premium exclusive dark elegant,Luxury brands and premium products and VIP services,Opulent and exclusive and refined,Gold on black passes AA large - use #faf7f2 for body text
Budget Friendly,"#f0fdf4 #bbf7d0 #22c55e #15803d #14532d",budget affordable green value savings,Discount retailers and budget tools and value brands,Trustworthy and savings-focused and approachable,Green conveys savings - #14532d on #f0fdf4 passes AAA
Professional Blue,"#eff6ff #bfdbfe #3b82f6 #1d4ed8 #1e3a8a",professional corporate blue trust business,Consulting firms and B2B SaaS and professional services,Professional and trustworthy and competent,Industry-standard blue palette - all combinations WCAG AA+
Creative Orange,"#fff7ed #fed7aa #f97316 #c2410c #7c2d12",creative bold orange warm energetic,Creative agencies and marketing and design studios,Bold and creative and energetic,#7c2d12 on #fff7ed passes AAA - orange for accents only
Playful Purple,"#faf5ff #e9d5ff #a855f7 #7e22ce #581c87",playful creative purple fun vibrant,Social apps and creative tools and youth brands,Fun and creative and imaginative,#581c87 on #faf5ff passes AAA - vibrant without sacrificing readability
Serious Dark,"#09090b #18181b #27272a #71717a #fafafa",serious dark minimal slate professional,Developer tools and pro software and dark interfaces,Serious and focused and professional,Designed for dark UI - #fafafa on #09090b passes AAA
Warm Neutral,"#fafaf9 #e7e5e4 #a8a29e #57534e #1c1917",warm neutral stone earthy grounded,Architecture and interior design and home goods,Grounded and sophisticated and warm,Full warm gray scale - excellent contrast hierarchy
Cool Minimal,"#f8fafc #e2e8f0 #94a3b8 #475569 #0f172a",cool minimal blue-gray clean modern,Tech products and modern dashboards and documentation,Clean and modern and efficient,Slate palette - #0f172a on #f8fafc passes AAA
Neon Party,"#000000 #ff00ff #00ffff #ffff00 #ffffff",neon party bright electric nightlife vibrant,Nightclubs and music festivals and party events,Electric and wild and attention-grabbing,Pure neon on black passes - never combine neon colors together
Pastel Dream,"#fdf2f8 #dbeafe #dcfce7 #fef3c7 #f5f3ff",pastel soft light dream gentle calm,Baby products and wellness and light apps,Gentle and dreamy and calming,Pastels need dark text (#1a1a1a minimum) - low contrast between pastels
Earth Tone,"#292524 #44403c #78716c #d6d3d1 #fafaf9",earth natural grounded stone warm neutral,Outdoor brands and coffee shops and artisan goods,Grounded and authentic and natural,Warm stone palette - consistent and accessible
Ocean Breeze,"#f0f9ff #bae6fd #38bdf8 #0284c7 #075985",ocean breeze light blue fresh coastal,Coastal businesses and water sports and maritime,Fresh and open and breezy,Light blue palette - #075985 on #f0f9ff passes AAA
Sunset Gradient,"#1a1a2e #e94560 #f97316 #fbbf24 #fef3c7",sunset gradient warm orange transition,Travel and photography and lifestyle and events,Warm and transitional and beautiful,Use dark #1a1a2e for text on warm colors
Forest Dawn,"#14532d #166534 #4ade80 #fef9c3 #fefce8",forest dawn green yellow nature morning,Hiking and camping and national parks and eco tourism,Fresh and natural and new beginnings,Dark greens on light yellows pass AAA
Desert Sand,"#451a03 #78350f #d97706 #fde68a #fffbeb",desert sand warm amber dry golden,Southwest brands and desert tourism and artisan crafts,Warm and dry and expansive,Amber palette - #451a03 on #fffbeb passes AAA
Arctic Ice,"#ecfeff #cffafe #22d3ee #0891b2 #164e63",arctic ice cold cyan frost clean,Winter sports and AC brands and cooling products,Cool and crisp and refreshing,Cyan palette - #164e63 on #ecfeff passes AAA
Tropical Paradise,"#064e3b #059669 #34d399 #fbbf24 #f97316",tropical paradise green gold orange warm,Beach resorts and tropical brands and island tourism,Vibrant and lush and warm,Combine darks with lights - avoid mid-tones on mid-tones
Vintage Sepia,"#44403c #78716c #a8a29e #d6cfc7 #f5f0e8",vintage sepia retro aged classic nostalgic,Antique shops and vintage clothing and heritage brands,Nostalgic and classic and aged,Warm vintage tones - #44403c on #f5f0e8 passes AAA
Modern Mint,"#f0fdf4 #a7f3d0 #34d399 #059669 #064e3b",modern mint fresh green clean contemporary,Health apps and modern cafes and fresh brands,Fresh and modern and clean,Mint palette - #064e3b on #f0fdf4 passes AAA
Coral Reef,"#fff1f2 #fecdd3 #fb7185 #e11d48 #881337",coral reef pink red warm vibrant,Fashion and beauty and lifestyle and dating apps,Warm and vibrant and passionate,#881337 on #fff1f2 passes AAA - coral for accents
Lavender Field,"#faf5ff #ede9fe #c4b5fd #7c3aed #4c1d95",lavender purple soft calming premium,Wellness and meditation and premium services,Calming and premium and imaginative,#4c1d95 on #faf5ff passes AAA
Slate Professional,"#f8fafc #cbd5e1 #64748b #334155 #0f172a",slate professional gray blue formal,Enterprise software and business tools and documentation,Professional and focused and clear,Designed for dense UI - all pairings meet AA minimum
Amber Warning,"#fffbeb #fef3c7 #f59e0b #b45309 #78350f",amber warning gold warm attention,Alerts and construction and caution-themed and autumn,Attention-grabbing and warm and seasonal,#78350f on #fffbeb passes AAA - use amber for warnings
Rose Gold,"#1a1a1a #2d2d2d #b76e79 #e8b4bc #f5e6e8",rose gold premium feminine elegant dark,Jewelry and wedding and beauty and feminine luxury,Elegant and feminine and premium,Rose gold on dark passes AA - delicate and refined
Electric Blue,"#020617 #0f172a #2563eb #60a5fa #dbeafe",electric blue bold tech bright,Tech products and SaaS and developer platforms,Bold and technical and modern,Strong blue palette - #dbeafe text on #020617 passes AAA
Sage Wellness,"#f1f5f1 #d4e2d4 #8fbc8f #5f8a5f #2d4a2d",sage wellness calm green muted natural,Yoga studios and meditation and organic products,Peaceful and balanced and nurturing,Muted sage - #2d4a2d on #f1f5f1 passes AAA
Terracotta Warm,"#fdf4ef #f5d5c3 #c4836a #8b4513 #4a2511",terracotta warm clay earthy pottery,Ceramics and home decor and artisan and Mediterranean,Warm and artisanal and earthy,Terracotta palette - #4a2511 on #fdf4ef passes AAA
Indigo Night,"#0a0a1a #1e1b4b #3730a3 #6366f1 #c7d2fe",indigo night deep purple dark premium,Premium SaaS and fintech and luxury tech,Deep and premium and sophisticated,#c7d2fe on #0a0a1a passes AAA - rich night palette
Lime Fresh,"#f7fee7 #d9f99d #84cc16 #4d7c0f #365314",lime fresh green bright energetic,Fitness and health food and energy brands,Energetic and fresh and healthy,#365314 on #f7fee7 passes AAA - bright and energetic
Sky Light,"#f0f9ff #e0f2fe #7dd3fc #0ea5e9 #0369a1",sky light blue airy open fresh,Weather apps and travel and outdoor and airlines,Open and airy and optimistic,Light sky palette - #0369a1 on #f0f9ff passes AAA
Espresso Dark,"#1c1210 #2a1f1a #4a3728 #8b7355 #d4c5a9",espresso coffee dark brown rich warm,Coffee shops and artisan roasters and cozy brands,Rich and warm and grounded,Brown palette - #d4c5a9 on #1c1210 passes AA
Candy Pop,"#fdf2f8 #ff6b6b #c084fc #fbbf24 #34d399",candy pop bright colorful fun sweet,Candy brands and Gen-Z products and party supplies,Sweet and fun and attention-grabbing,Multi-color - always use dark text on these bright backgrounds
Wine Burgundy,"#1a0a0e #3d0f1e #722f37 #b5485d #e8c4c4",wine burgundy dark red rich sophisticated,Wineries and fine dining and luxury events,Rich and sophisticated and mature,#e8c4c4 on #1a0a0e passes AAA - deep and elegant
Mint Chocolate,"#1c1210 #2a1f1a #4a3728 #34d399 #a7f3d0",mint chocolate dark green brown rich,Cafes and dessert shops and artisan chocolate,Rich and fresh and indulgent,Mint accents on chocolate background - unique and appetizing
Peach Blossom,"#fff5f5 #fce8e8 #f5a8a8 #e06060 #8b2525",peach blossom warm soft pink gentle,Bakeries and flower shops and skincare and events,Soft and warm and inviting,#8b2525 on #fff5f5 passes AAA - gentle warmth
Steel Industrial,"#0a0a0a #1a1a1a #374151 #6b7280 #d1d5db",steel industrial gray metal technical,Manufacturing and engineering and technical products,Technical and strong and industrial,Industrial gray scale - #d1d5db on #0a0a0a passes AAA
Sunrise Warm,"#fffbeb #fef3c7 #fb923c #ea580c #9a3412",sunrise warm orange morning golden,Breakfast brands and morning apps and bakeries,Warm and welcoming and new,#9a3412 on #fffbeb passes AAA - morning warmth
Ice Cream,"#fef7ff #fbcfe8 #a78bfa #67e8f9 #fde68a",ice cream pastel sweet playful soft,Ice cream shops and dessert brands and summer products,Sweet and playful and delightful,Pastels need #1a1a1a text minimum - low mutual contrast
Charcoal Minimal,"#171717 #262626 #404040 #737373 #f5f5f5",charcoal dark minimal sleek modern gray,Modern portfolios and dark dashboards and premium tools,Sleek and modern and sophisticated,True charcoal - #f5f5f5 on #171717 passes AAA
Teal Professional,"#f0fdfa #ccfbf1 #2dd4bf #0d9488 #134e4a",teal professional green-blue modern trust,Health tech and fintech and professional services,Professional and fresh and trustworthy,#134e4a on #f0fdfa passes AAA - unique professional tone
Plum Rich,"#1a0a1e #2e1065 #581c87 #9333ea #e9d5ff",plum rich purple dark luxurious,Premium brands and creative agencies and luxury services,Luxurious and creative and distinctive,#e9d5ff on #1a0a1e passes AAA - rich purple palette
Honey Gold,"#fffbeb #fef3c7 #f59e0b #d97706 #78350f",honey gold warm amber natural sweet,Artisan food and honey brands and natural products,Natural and warm and artisanal,#78350f on #fffbeb passes AAA - golden warmth
Blush Pink,"#fff5f7 #ffe4e9 #ff8fa3 #ff4d6d #a4133c",blush pink soft feminine warm romantic,Wedding and beauty and fashion and romance,Romantic and feminine and soft,#a4133c on #fff5f7 passes AAA - romantic palette
Slate Dark,"#020617 #0f172a #1e293b #64748b #e2e8f0",slate dark professional blue-gray modern,Developer tools and SaaS dashboards and pro software,Focused and professional and modern,#e2e8f0 on #020617 passes AAA - prime dark palette
Forest Moss,"#1a2e1a #2d4a2d #4a7c4a #8fbc8f #c8dfc8",forest moss green natural deep organic,Nature reserves and organic products and forestry,Deep and natural and grounding,Natural greens - #c8dfc8 on #1a2e1a passes AAA
Copper Accent,"#faf5f0 #ede0d4 #b08968 #7f5539 #3e2723",copper accent metallic warm premium,Breweries and hardware and premium craft and leather,Premium and artisanal and warm,Warm metallic - #3e2723 on #faf5f0 passes AAA
Midnight Purple,"#0d0015 #1a0033 #4a0080 #9333ea #d8b4fe",midnight purple deep dark vibrant,Night entertainment and gaming and creative tech,Mysterious and vibrant and immersive,#d8b4fe on #0d0015 passes AAA - deep and immersive
Cherry Red,"#1a0000 #450a0a #991b1b #ef4444 #fecaca",cherry red bold dark intense,Sports and energy drinks and bold brands,Intense and bold and passionate,Red palette - #fecaca on #1a0000 passes AAA
Olive Earth,"#1a1c16 #3f4130 #6b7353 #a3b18a #dad7cd",olive earth natural muted green warm,Outdoor clothing and military and earth brands,Grounded and natural and understated,#dad7cd on #1a1c16 passes AAA - muted earth
Snow White,"#ffffff #fafafa #f5f5f5 #e5e5e5 #171717",snow white clean bright pure minimal,Medical and clean-tech and minimalist brands,Clean and pure and professional,Near-white palette - #171717 for all text
Flamingo,"#fdf2f8 #fce7f3 #f472b6 #db2777 #831843",flamingo pink bold bright fun,Fashion and beauty and social media and events,Bold and fun and feminine,#831843 on #fdf2f8 passes AAA - bold pink
Ocean Storm,"#0c1222 #1a2744 #2563eb #3b82f6 #93c5fd",ocean storm dark blue dramatic deep,Maritime and insurance and weather and security,Dramatic and powerful and trustworthy,#93c5fd on #0c1222 passes AAA - dramatic depth
Matcha,"#f0fdf4 #dcfce7 #86efac #22c55e #166534",matcha green fresh clean japanese,Tea brands and health food and Japanese-inspired,Fresh and clean and healthy,#166534 on #f0fdf4 passes AAA - matcha-inspired
Campfire,"#1c1210 #451a03 #92400e #f59e0b #fef3c7",campfire warm orange dark cozy night,Camping and outdoor and bbq and rustic brands,Warm and cozy and adventurous,#fef3c7 on #1c1210 passes AAA - campfire warmth
Royal Blue,"#0a0a1a #172554 #1e40af #3b82f6 #bfdbfe",royal blue deep formal prestigious,Universities and government and formal institutions,Prestigious and formal and established,#bfdbfe on #0a0a1a passes AAA - royal depth
Sunflower,"#fffbeb #fef9c3 #facc15 #ca8a04 #713f12",sunflower yellow warm bright cheerful,Summer products and agricultural and cheerful brands,Cheerful and warm and bright,#713f12 on #fffbeb passes AAA - bright and happy
Concrete Urban,"#1a1a1a #2d2d2d #525252 #a3a3a3 #f5f5f5",concrete urban gray city minimal industrial,Urban brands and architecture and city lifestyle,Urban and minimal and industrial,Clean gray scale - #f5f5f5 on #1a1a1a passes AAA
Blood Orange,"#1a0a00 #431407 #9a3412 #f97316 #ffedd5",blood orange warm dark bold rich,Food and beverage and bold lifestyle and energy,Bold and rich and energetic,#ffedd5 on #1a0a00 passes AAA - bold warmth
Seafoam,"#f0fdfa #ccfbf1 #5eead4 #14b8a6 #0f766e",seafoam green-blue soft fresh coastal,Spas and coastal brands and fresh products,Fresh and soft and rejuvenating,#0f766e on #f0fdfa passes AAA - fresh coastal
Berry Mix,"#1a0a1e #4c1d95 #7c3aed #ec4899 #fce7f3",berry mix purple pink vibrant bold,Fashion and music and social and vibrant brands,Vibrant and bold and exciting,#fce7f3 on #1a0a1e passes AAA - vibrant berry
Dusk Violet,"#0f0720 #1e1145 #4338ca #818cf8 #e0e7ff",dusk violet dark blue-purple twilight calm,Meditation apps and sleep products and evening brands,Calm and introspective and soothing,#e0e7ff on #0f0720 passes AAA - calming twilight
Bamboo Natural,"#faf5e9 #e8dcc8 #a3956b #6b5b3e #3d3422",bamboo natural tan beige earthy zen,Japanese restaurants and natural products and zen brands,Natural and grounded and zen,#3d3422 on #faf5e9 passes AAA - natural bamboo
Neon Mint,"#0a0a0a #0d1b1e #00e5a0 #00ffbf #e0fff5",neon mint green dark electric bright,Fintech apps and crypto and tech startups,Electric and fresh and modern,Neon green on dark passes AAA - use #e0fff5 for body
Dusty Rose,"#faf5f3 #efe0db #c9a9a0 #9c6b6b #5a3a3a",dusty rose muted pink warm vintage,Interior design and vintage shops and wedding,Warm and muted and nostalgic,#5a3a3a on #faf5f3 passes AAA - subtle warmth
Glacier Blue,"#f0f8ff #d4eaf7 #6db3d4 #2980b9 #1a4d6e",glacier blue light cold fresh clean,Cloud services and SaaS and clean-tech,Clean and expansive and fresh,#1a4d6e on #f0f8ff passes AAA - glacier-inspired
