book,category,priority,plugs_into,confidence,core_doctrine
"DECISION_JUDGMENT_COGNITION (Kahneman Thinking Fast and Slow, Kahneman/Sibony/Su",QUEUED_FOR_DOCTRINE_EXTRACTION,3,"intel_decision_gates (new), sniped-decide contrarian pass, o",medium,"System 1/2, cognitive biases, and noise reduction in judgment. The bias catalog supports the decision-gate work and the contrarian pass in sniped-decide."
"DECISION_JUDGMENT_CROWDS (Haidt Righteous Mind + Coddling, Hoffer True Believer,",LOW_PRIORITY_REFERENCE_ONLY,5,None operationally (Berne: minor client-dynamics reference),medium,"Moral psychology, crowd/movement dynamics, meaning, and transactional analysis. Intellectually rich but far from money/sales/operations."
B2B_POSITIONING_CLAUDE_OPERATOR + CLAUDE_OPERATOR_DOCS + N8N_AUTOMATION_SYSTEMS ,QUEUED_FOR_DOCTRINE_EXTRACTION,3,"sniped-udemy-ai-accelerants, feedback_connected_toolchain_de",medium,"Operator-engine + AI-tooling layer (mostly from The AI Edge course). Workflow primitives, prompt-technique templates, n8n automation patterns, opportunity-scoring cards."
BATCH_006 + BATCH_007 (SNIPED skill packs + locked doctrine/SOPs/email templates,FULLY_OPERATIONALIZED,3,"The entire sniped-* skill registry, ROUTING_MANIFEST, EXECUT",high,"These are SNIPED's own OS, already live as 60+ sniped-* skills, locked doctrine docs, and the certified start-here corpus. Not books to extract."
"BATCH_001 + BATCH_004 (SNIPED OS current state, 100Q audit, Stacks, Strategic Pr",FULLY_OPERATIONALIZED,3,"CANONICAL_TRUTHS, THE_SPINE, the full memory/feedback atom s",high,"SNIPED's self-referential operating corpus (the spine, audit, stacks). Already the source of the canonical truths and live doctrine."
"BATCH_008 AI/Tech Canon (Mollick Co-Intelligence, Suleyman Coming Wave, Agrawal/",QUEUED_FOR_DOCTRINE_EXTRACTION,4,"Extend intel_ai_sentiment, intel_ai_photographer_market, fee",medium,"AI-economics + future-of-work canon. Prediction Machines (AI = cheap prediction, judgment becomes the scarce complement) and Human+Machine (augmentation not replacement) directly underwrite SNIPED's hybrid-operator AI st"
"FOUNDER_SECOND_TIER (Walton Made in America, Isaacson Elon Musk, Chernow Titan, ",LOW_PRIORITY_REFERENCE_ONLY,3,"sniped-article case studies, caption voice texture, feedback",medium,"Founder + creative-leader memoirs. Narrative texture and case studies (Walton frugality, Vreeland editorial taste, Coddington creative-director craft, MJ obsessive standard) rather than rule sources."
HISTORICAL_BIOGRAPHY (Chernow Washington + Grant) + MODERN_COMMAND_NAPOLEON (Rob,LOW_PRIORITY_REFERENCE_ONLY,5,Marginal: intel_strategic_implications (Clausewitz friction),medium,Classical strategy/history/command canon. Deep strategic wisdom but heavily overlapping with the already-distilled Greene/Sun Tzu strategy layer; marginal new operational value for a solo photography business.
PERSONAL_OPERATING_CODE (Winters 88 Laws of the Masculine Mindset),LOW_PRIORITY_REFERENCE_ONLY,5,None operationally,low,"Personal-discipline/mindset content. Self-help register, not business doctrine."
"HIGH_LEVEL_CONVOS (Earn Your Leisure transcripts: creator-equity, club ownership",LOW_PRIORITY_REFERENCE_ONLY,1,"KOTS revenue-share framing (if/when), otherwise none",low,"Podcast-transcript intel on creator-equity and income-stream building. Topically money-priority but transcript-grade signal, thin on transferable rules."
"MEDIA_BUSINESS (Miller Tinderbox + Those Guys Have All the Fun, Shales/Miller Li",LOW_PRIORITY_REFERENCE_ONLY,5,None operationally (Mailroom: minor lineage/apprenticeship r,medium,Media/entertainment-industry oral histories. Institution-building and talent-agency mechanics; entertaining but far from a solo photography operation.
"BATCH_010 Hip-Hop Business + Black Culture (Charnas Big Payback + Dilla Time, Gu",LOW_PRIORITY_REFERENCE_ONLY,4,"feedback_lineage_doctrine, cultural_documentation_thesis, sn",medium,"Hip-hop business + Black cultural-empire building. Strong lineage/culture resonance (Lineage Doctrine: LA Black founder culture) and brand-as-culture case studies (Jay-Z, Big Payback)."
"LITERARY_CANON_BLACK (Hurston, Walker x3, Morrison Bluest Eye) + LITERARY_RECOVE",LOW_PRIORITY_REFERENCE_ONLY,5,"feedback_lineage_doctrine (Black canon), caption/article pro",medium,"Literary canon. Voice, prose rhythm, and cultural-lineage depth (especially the Black literary canon, which aligns with the Lineage Doctrine)."
