doc,words,primary_family,families,doc_type,density,existing_cards,conversion_status,reason
FASHION KILLA.txt,68456,photo,photo:106;social:79;sales:52,transcript,4.0,0,CONVERTED,1 cards extracted this pass
claude cowork genius.txt,66376,claude,claude:766;sales:94;social:89,how_to,15.1,0,CONVERTED,10 cards extracted this pass
claude for small business.txt,66234,claude,claude:696;sales:99;money:89,transcript,7.4,0,CONVERTED,10 cards extracted this pass
using ai x gumroad x digital products.txt,55649,multi,money:367;claude:326;social:259,how_to,13.6,0,CONVERTED,7 cards extracted this pass
MONEY MONEY AND MORE MONEY AND GETTING AHEAD .txt,55213,claude,claude:260;money:106;copy:67,how_to,10.6,0,CONVERTED,7 cards extracted this pass
FINDING MODELS ANYWHERE OG.txt,52715,photo,photo:1031;social:153;copy:42,transcript,7.4,0,CONVERTED,8 cards extracted this pass
use blender like this.txt,41116,claude,claude:418;blender:393;photo:142,how_to,17.9,0,CONVERTED,7 cards extracted this pass
Gemini.txt,37131,multi,photo:358;money:326;sales:227,transcript,6.5,0,CONVERTED,7 cards extracted this pass
set up ai.txt,31713,photo,photo:134;sales:38;figma:22,how_to,12.2,0,CONVERTED,7 cards extracted this pass
COURSE WORK 1 thru 2.txt,26754,sales,sales:45;money:33;claude:24,how_to,8.7,0,CONVERTED,6 cards extracted this pass
PHOTOGRAPHY MONEY GUIDE.txt,24753,money,money:421;claude:295;sales:234,how_to,12.7,0,CONVERTED,7 cards extracted this pass
LA PHOTOGRPAHY.txt,24050,sales,sales:210;money:105;photo:105,how_to,9.2,0,CONVERTED,7 cards extracted this pass
garyvee gameplan.txt,21791,social,social:349;claude:227;money:115,how_to,9.6,0,CONVERTED,7 cards extracted this pass
THREADS.txt,18820,social,social:480;copy:26;sales:8,how_to,11.1,0,CONVERTED,6 cards extracted this pass
SOCIAL_MEDIA_3_0_REFERENCE.txt,17190,social,social:228;copy:61;money:39,playbook,6.7,0,CONVERTED,7 cards extracted this pass
branding x clothes gold.txt,14384,multi,claude:130;social:120;money:92,how_to,8.9,0,CONVERTED,6 cards extracted this pass
AI CHANGED EVERYTHING.txt,14120,multi,sales:16;social:12;copy:10,transcript,3.0,0,DISCARD,"AlphaGo documentary transcript; thematic intel only, no technique"
MOSTLY PHOTOGRPAHY SETS SET DESIGN .txt,13866,photo,photo:161;claude:135;money:64,how_to,9.2,0,CONVERTED,7 cards extracted this pass
The_Claude_Stack.txt,12145,claude,claude:216;photo:96;money:72,playbook,3.5,0,CONVERTED,7 cards extracted this pass
The_Platform_Stack.txt,12022,sales,sales:142;social:123;copy:45,playbook,6.1,0,CONVERTED,7 cards extracted this pass
The_Offer_Stack.txt,11929,money,money:195;sales:34;copy:22,playbook,4.1,0,CONVERTED,7 cards extracted this pass
Built an AI SaaS in 20 min.txt,11544,claude,claude:341;social:37;copy:25,how_to,9.2,0,CONVERTED,5 cards extracted this pass
The_Revenue_Stack.txt,11336,money,money:209;photo:112;sales:59,playbook,3.2,0,CONVERTED,7 cards extracted this pass
The_Attention_Stack.txt,10958,social,social:212;photo:72;money:37,playbook,3.3,0,CONVERTED,7 cards extracted this pass
CLAUDE CODE SUPERPOWERS.txt,8800,claude,claude:156;money:7;copy:6,how_to,11.4,0,CONVERTED,7 cards extracted this pass
legal contracts and service business contracts.txt,8737,claude,claude:56;money:48;copy:22,how_to,8.8,0,CONVERTED,6 cards extracted this pass
NEW TAKEOVER HANDLE WITH CARE.txt,6794,social,social:28;money:10;copy:3,how_to,9.3,0,CONVERTED,3 cards extracted this pass
The_Direction_Shift_Master_v2.txt,6227,photo,photo:98;copy:63;social:54,transcript,3.1,0,CONVERTED,4 cards extracted this pass
PHOTO PIONEERS VIDEO TEXT.txt,6203,photo,photo:67;copy:43;sales:15,transcript,3.4,0,CONVERTED,4 cards extracted this pass
sniped_os_knowledge_dump.txt,5811,claude,claude:51;photo:34;sales:20,transcript,7.4,0,CONVERTED,4 cards extracted this pass
The_Adobe_Stack_Manual.txt,4558,adobe,adobe:97;photo:48;premiere:23,how_to,8.8,0,CONVERTED,4 cards extracted this pass
Direction_Stack_90Day_Plan.txt,3514,social,social:35;sales:28;money:17,playbook,4.3,0,CONVERTED,4 cards extracted this pass
The_Operator_Playbook.txt,3406,social,social:55;copy:24;sales:24,playbook,7.9,0,CONVERTED,4 cards extracted this pass
CLAUDE CODE PLUGIN.txt,3368,claude,claude:55;higgsfield:2;copy:2,transcript,8.6,0,CONVERTED,4 cards extracted this pass
REMOTION.txt,3164,claude,claude:56;premiere:5;copy:5,framework,9.5,0,CONVERTED,3 cards extracted this pass
Claude_Operating_Manual.txt,2909,claude,claude:72;figma:14;sales:10,playbook,4.8,0,CONVERTED,4 cards extracted this pass
claude_for_small_business_organized.txt,2779,claude,claude:44;sales:16;higgsfield:10,transcript,7.2,0,CONVERTED,3 cards extracted this pass
ICP Definition Worksheet.txt,2614,sales,sales:24;figma:4;money:2,framework,6.5,0,CONVERTED,4 cards extracted this pass
THE_REAL_PLAN_Rebrand_Revenue_Execution.txt,2604,money,money:46;sales:30;copy:27,framework,3.8,0,CONVERTED,4 cards extracted this pass
GaryVee_Attention_Operating_System.txt,2532,social,social:58;photo:10;money:8,framework,3.2,0,CONVERTED,4 cards extracted this pass
Cold_Outreach_Sales_Pipeline_Playbook.txt,2487,sales,sales:61;premiere:8;money:6,playbook,3.2,0,CONVERTED,4 cards extracted this pass
Brand_Builders_Playbook.txt,2380,money,money:13;copy:11;sales:5,playbook,4.2,0,CONVERTED,4 cards extracted this pass
Digital_Products_AI_Services_Playbook.txt,2371,money,money:27;social:17;sales:11,playbook,5.5,0,CONVERTED,4 cards extracted this pass
6_Content_Marketing_OS (1).txt,2167,social,social:96;sales:14;photo:13,transcript,1.4,0,CONVERTED,4 cards extracted this pass
SNIPED_Chat_Prompts_Reference.txt,2119,copy,copy:17;photo:11;social:7,playbook,10.9,0,CONVERTED,4 cards extracted this pass
Finding Your Edge.txt,1979,claude,claude:2;money:1,transcript,4.5,0,CONVERTED,2 cards extracted this pass
Copywriting_Playbook.txt,1963,copy,copy:43;sales:29;social:8,playbook,8.2,0,CONVERTED,4 cards extracted this pass
Photography_Editing_Playbook.txt,1946,photo,photo:32;adobe:30;copy:4,playbook,8.7,0,CONVERTED,4 cards extracted this pass
Contracts_Legal_Protection_Playbook.txt,1911,money,money:22;photo:7;social:6,playbook,3.7,0,CONVERTED,4 cards extracted this pass
Pixieset_Operations_Reference.txt,1897,photo,photo:22;sales:15;copy:7,playbook,11.6,0,CONVERTED,4 cards extracted this pass
BIZ EXPENSES.txt,1795,copy,copy:12;sales:3;photo:3,transcript,1.7,0,QUEUE,"billing/expense export; feeds os_pricing_gate cost-basis, not a technique card"
Photography_Revenue_Playbook.txt,1725,money,money:47;photo:21;copy:11,playbook,1.2,0,CONVERTED,4 cards extracted this pass
Higgsfield_AI_Operator_Playbook.txt,1668,higgsfield,higgsfield:66;after_effects:12;figma:10,playbook,13.2,0,CONVERTED,4 cards extracted this pass
Money_Wealth_Getting_Ahead.txt,1638,money,money:16;copy:13;social:7,framework,6.7,0,CONVERTED,4 cards extracted this pass
life story.txt,1458,photo,photo:17;higgsfield:3;social:3,reference,4.1,0,QUEUE,"operator bio/CRM context; ingest as operator-profile memory, not a technique card"
Weekly Reflections.txt,1399,multi,premiere:1;money:1;sales:1,reference,7.1,0,CONVERTED,1 cards extracted this pass
Setting Goals.txt,1264,claude,claude:5;adobe:1;figma:1,framework,11.1,0,CONVERTED,4 cards extracted this pass
sniped_context_tools_only.txt,911,sales,sales:43;premiere:4;copy:2,reference,4.4,0,CONVERTED,3 cards extracted this pass
Art_Series.txt,870,copy,copy:6;photo:4;sales:3,reference,4.6,0,CONVERTED,4 cards extracted this pass
Aesthetic_Statement_v1.txt,634,photo,photo:12;adobe:7;figma:4,reference,1.6,0,CONVERTED,4 cards extracted this pass
Prompt Template - Combining Techniques-2.txt,450,claude,claude:1,reference,4.4,0,CONVERTED,1 cards extracted this pass
Prompt Template - Problem Decomposition.txt,347,claude,claude:4;premiere:2;money:2,reference,5.8,0,CONVERTED,4 cards extracted this pass
Prompt Template - Thought Generation-2.txt,344,copy,copy:2;sales:1;claude:1,reference,20.3,0,CONVERTED,3 cards extracted this pass
Prompt Template - In Context-2.txt,333,multi,social:1;money:1;claude:1,reference,18.0,0,CONVERTED,4 cards extracted this pass
series 2 download.txt,1187552,multi,money:2504;sales:1940;social:1590,transcript,6.7,1,USED,1 cards already extracted
world building characters etc.txt,422368,claude,claude:1148;blender:857;social:467,how_to,15.5,12,USED,12 cards already extracted
new world.txt,399174,multi,photo:507;social:480;copy:412,transcript,7.8,10,USED,10 cards already extracted
cold out reach instantly gold everything use this always lol.txt,186904,sales,sales:6813;money:504;social:398,how_to,8.8,11,USED,11 cards already extracted
POSING 101 OG.txt,178295,photo,photo:960;sales:237;adobe:183,transcript,6.7,14,USED,14 cards already extracted
LIGHTING SET UPS OG.txt,155072,photo,photo:864;higgsfield:155;sales:130,transcript,7.3,12,USED,12 cards already extracted
ai after ramon copy.txt,137066,social,social:315;claude:276;sales:185,duplicate,11.4,0,DISCARD,exact duplicate of ai after ramon.txt
takeover after ramon copy.txt,134205,multi,claude:229;social:204;sales:176,duplicate,11.6,0,DISCARD,exact duplicate of takeover after ramon.txt
bunch of mess.txt,107892,multi,money:832;photo:769;sales:620,how_to,9.1,7,USED,7 cards already extracted
PIXIESET NEW USE .txt,106601,photo,photo:1335;sales:416;money:387,how_to,16.4,12,USED,12 cards already extracted
MOODBOARDING DOC OG.txt,88040,photo,photo:461;higgsfield:95;adobe:93,how_to,8.2,12,USED,12 cards already extracted
higssfield og.txt,85375,higgsfield,higgsfield:1975;copy:284;sales:249,how_to,9.1,12,USED,12 cards already extracted
Build a Brand Like Apple.txt,74494,social,social:94;copy:93;money:51,transcript,7.0,11,USED,11 cards already extracted
Gemini Sniped MAster thread.txt,37131,multi,photo:358;money:326;sales:227,duplicate,6.5,0,DISCARD,exact duplicate of Gemini.txt
kling 3.00.txt,26636,multi,higgsfield:196;copy:175;claude:146,how_to,16.1,11,USED,11 cards already extracted
Gemini PHOTO YAP.txt,23438,adobe,adobe:184;photo:141;copy:87,how_to,10.0,12,USED,12 cards already extracted
adobe goat.txt,17902,adobe,adobe:308;higgsfield:28;claude:26,how_to,30.1,12,USED,12 cards already extracted
The_Claude_Stack (1).txt,12145,claude,claude:216;photo:96;money:72,duplicate,3.5,0,DISCARD,exact duplicate of The_Claude_Stack.txt
The_Production_Stack.txt,10505,photo,photo:262;sales:25;copy:24,playbook,3.2,12,USED,12 cards already extracted
The_Higgsfield_Codex.txt,9037,higgsfield,higgsfield:268;photo:78;copy:42,how_to,8.2,12,USED,12 cards already extracted
The_Kling_AI_Codex.txt,7234,higgsfield,higgsfield:141;sales:60;photo:53,playbook,6.8,12,USED,12 cards already extracted
Evoto_AI_Retouching_Reference.txt,1212,adobe,adobe:50;photo:20;claude:7,playbook,7.4,9,USED,9 cards already extracted
last one for now.txt,634,multi,adobe:1;premiere:1;after_effects:1,reference,0.0,0,QUEUE,"short/low-density, fold into playbook cards later"
MASTER CLAUDE CODE COURSE 1 thru 8.docx.txt,354,copy,copy:4;after_effects:1;social:1,reference,0.0,0,QUEUE,"short/low-density, fold into playbook cards later"
Prompt Template - Self Criticism (Basic)-3.txt,299,claude,claude:1,reference,0.0,0,QUEUE,"short/low-density, fold into playbook cards later"
Prompt Template - Self Criticism (Advanced)-2.txt,296,social,social:4;money:2;copy:1,reference,0.0,0,QUEUE,"short/low-density, fold into playbook cards later"
