doc,words,top_tools,priority,conversion_status
GaryVee_Attention_Operating_System.docx,2532,,9,CERTIFIED_ONLY
Cold_Outreach_Sales_Pipeline_Playbook.docx,2487,,9,CERTIFIED_ONLY
Digital_Products_AI_Services_Playbook.docx,2371,,9,CERTIFIED_ONLY
SNIPED_Chat_Prompts_Reference.docx,2119,,9,CERTIFIED_ONLY
Copywriting_Playbook.docx,1963,,9,CERTIFIED_ONLY
Contracts_Legal_Protection_Playbook.docx,1911,,9,CERTIFIED_ONLY
Finding Your Edge.docx,1334,,9,CERTIFIED_ONLY
sniped_context_tools_only.docx,911,,9,CERTIFIED_ONLY
Art_Series.docx,870,,9,CERTIFIED_ONLY
Aesthetic_Statement_v1.docx,634,,9,CERTIFIED_ONLY
MASTER CLAUDE CODE COURSE 1 thru 8.docx.docx,354,,9,CERTIFIED_ONLY
