doc,status,use_type,priority,reason
The_Claude_Stack.docx,QUEUED,,3,"12k words, multi-Adobe + prompt:45/layer:23; Claude-stack workflow, canonical of twin pair. ~1 segment."
The_Claude_Stack (1).docx,DISCARDED,,,"Exact duplicate of 'The_Claude_Stack.docx' (identical 12145 words, identical counts) · '(1)' copy twin."
The_Platform_Stack.docx,QUEUED,,4,"12k words, express/figma + layer:9/lut:7; platform strategy stack, thin technique. ~1 segment."
The_Offer_Stack.docx,QUEUED,,4,"11k words, figma/express + layer:15/prompt:5; offer-design doctrine, light technique. ~1 segment."
Built an AI SaaS in 20 min.docx,QUEUED,,4,"11k words, express:14 + prompt:14; rapid AI-SaaS build walkthrough, modest prompt technique. ~1 segment."
The_Revenue_Stack.docx,QUEUED,,4,"11k words, lightroom:1 + layer:15/burn:10/grade; revenue doctrine with minor edit technique. ~1 segment."
The_Attention_Stack.docx,QUEUED,,4,"10k words, multi-tool :1 each + layer:15/prompt:9; attention doctrine, light technique. ~1 segment."
The_Production_Stack.docx,USED,doctrine,,In sprint extracted set; midjourney:3 + rim light:6/key light:4/curves production-stack doctrine.
The_Higgsfield_Codex.docx,USED,prompt pattern,,TECHNIQUE_CARDED in matrix AND sprint set; higgsfield/sora/seedance/kling + prompt:60/keyframe:27 codex.
CLAUDE CODE SUPERPOWERS.docx,QUEUED,,4,"8.8k words, nano banana:1 + prompt:7; Claude Code usage tips, thin technique. ~1 segment."
legal contracts and service business contracts.docx,QUEUED,,3,"8.7k words, no AI tools but layer:34 + contract templates; operational legal reference, non-tool how-to. ~1 segment."
The_Kling_AI_Codex.docx,USED,prompt pattern,,In sprint extracted set; kling:61/nano banana/topaz + prompt:92/upscale:23/reference image:19 Kling codex.
NEW TAKEOVER HANDLE WITH CARE.docx,DISCARDED,,,"6.8k words, zero tools, near-zero technique (lut:4/layer:2); low-signal takeover notes, no operational content."
The_Direction_Shift_Master_v2.docx,QUEUED,,3,"6.2k words, lightroom:43 + dodge:7/key light/retouch; concentrated Lightroom direction-shift how-to. ~1 segment."
PHOTO PIONEERS VIDEO TEXT.docx,QUEUED,,4,"6.2k words, express:2 + lut:7/depth of field:3; video transcript notes, light technique. ~1 segment."
sniped_os_knowledge_dump.docx,QUEUED,,4,"5.8k words, express:5 + prompt:56; OS knowledge dump, prompt-pattern heavy. ~1 segment."
The_Adobe_Stack_Manual.docx,USED,technique card,,TECHNIQUE_CARDED in matrix; firefly:52/express/adobe + generative fill/expand/color grade Adobe manual.
claude_for_small_business_organized.docx,QUEUED,,4,"2.7k words, higgsfield:9 + prompt:8/reference image; cleaned small-biz Claude guide, modest technique. ~1 segment."
ai-ops-dashboard-prd.md,QUEUED,,4,"2.6k words PRD, no tools but prompt:2; product spec for AI-ops dashboard, structural/operational doc. <1 segment."
ai-ops-dashboard-prd (1).md,DISCARDED,,,Exact duplicate of 'ai-ops-dashboard-prd.md' (identical 2641 words) · '(1)' copy twin.
THE_REAL_PLAN_Rebrand_Revenue_Execution.docx,QUEUED,,4,"2.6k words, lightroom/express/kling + layer:1; rebrand execution plan, near-zero technique but operational. <1 segment."
GaryVee_Attention_Operating_System.docx,QUEUED,,5,"2.5k words, no tools + prompt:4/layer:1; condensed attention-OS doctrine, minimal technique. <1 segment."
Cold_Outreach_Sales_Pipeline_Playbook.docx,QUEUED,,4,"2.5k words, no AI tools but lut:4/layer:3; cold-outreach pipeline playbook, operational how-to. <1 segment."
Brand_Builders_Playbook.docx,QUEUED,,5,"2.4k words, express:1 + lut:2; brand-build playbook, minimal technique. <1 segment."
Digital_Products_AI_Services_Playbook.docx,QUEUED,,4,"2.4k words, no tools + prompt:5/lut:4; digital-product AI-services playbook, light operational how-to. <1 segment."
6_Content_Marketing_OS (1).docx,QUEUED,,4,"2.2k words, lightroom:1 + retouch:2/burn/grade; content-marketing OS, modest operational content. <1 segment."
SNIPED_Chat_Prompts_Reference.docx,QUEUED,,4,"2.1k words, no tools + prompt:4; reusable chat-prompt reference, prompt-pattern source. <1 segment."
Copywriting_Playbook.docx,QUEUED,,4,"1.9k words, no tools + lut:9 (likely copy refs); copywriting playbook, operational how-to. <1 segment."
Photography_Editing_Playbook.docx,QUEUED,,3,"1.9k words, lightroom:12/photoshop + dodge/frequency separation/mask; compact but real editing how-to. <1 segment."
Contracts_Legal_Protection_Playbook.docx,QUEUED,,4,"1.9k words, no tools + lut:2; legal-protection playbook, operational reference. <1 segment."
Pixieset_Operations_Reference.docx,QUEUED,,3,"1.9k words, lightroom:3 + grade/lut; concise Pixieset ops reference, operational how-to. <1 segment."
BIZ EXPENSES.docx,DISCARDED,,,"1.8k words, adobe:7 (subscription mentions only), zero technique; expense list, no operational how-to content."
Photography_Revenue_Playbook.docx,QUEUED,,4,"1.7k words, lightroom:1 + layer:3/transition; photo-revenue playbook, light operational content. <1 segment."
Higgsfield_AI_Operator_Playbook.docx,USED,prompt pattern,,TECHNIQUE_CARDED in matrix; seedance/nano banana/higgsfield/kling + keyframe:11/prompt:14 operator playbook.
Money_Wealth_Getting_Ahead.docx,QUEUED,,5,"1.6k words, runway:1 + burn:6/prompt:3; wealth-mindset notes, minimal operational technique. <1 segment."
life story.docx,DISCARDED,,,"1.5k words, photoshop:1/composite:1 only; personal narrative, no reusable tool/technique content."
Finding Your Edge.docx,DISCARDED,,,"1.3k words, no tools + lut:2; positioning worksheet narrative, no operational how-to (PDF twin also non-operational)."
Evoto_AI_Retouching_Reference.docx,USED,technique card,,In sprint extracted set; lightroom/photoshop + retouch:24/frequency-grade Evoto retouching reference.
sniped_context_tools_only.docx,DISCARDED,,,"911 words, no tools + layer:1; context-only stub, no operational technique content."
Art_Series.docx,DISCARDED,,,"870 words, no tools + layer:1; art-series concept note, already in sniped-art-series skill, no extractable technique."
Aesthetic_Statement_v1.docx,QUEUED,,5,"634 words, no tools but retouch:5/dodge/burn/key light/grade; tiny but real aesthetic+edit-register doctrine. <1 segment."
last one for now.docx,QUEUED,,4,"634 words, midjourney:16 + prompt:5; small but concentrated Midjourney prompt collection. <1 segment."
MASTER CLAUDE CODE COURSE 1 thru 8.docx.docx,DISCARDED,,,"354 words, no tools + layer:2/subdivision:1; stub/title-only remnant, no operational content."
Claude_Operating_Manual.docx,QUEUED,,4,"2.9k words, no tools but prompt:22; Claude operating manual, prompt-pattern + operating doctrine source. <1 segment."
The_Operator_Playbook.docx,QUEUED,,4,"3.4k words, express:2 + layer:15/prompt:3; operator playbook, light operational how-to. <1 segment."
youtube skool doc.docx,QUEUED,,2,"196k words, express/figma/nano banana/sora + layer:167/prompt:162/reference image; Skool course corpus uncarded. ~5-6 segments."
CLAUDE CODE PLUGIN.docx,QUEUED,,4,"3.4k words, nano banana:1 + prompt:6; Claude Code plugin notes, thin technique. <1 segment."
REMOTION.docx,QUEUED,,3,"3.2k words, premiere/after effects/nano banana + transition:5/prompt:7; Remotion programmatic-video how-to. <1 segment."
Direction_Stack_90Day_Plan.docx,QUEUED,,4,"3.5k words, no tools + grade:1/burn:1; 90-day Direction Stack plan, operational planning doc. <1 segment."
cold out reach instantly gold everything use this always lol,USED,workflow,,In sprint extracted set; express + prompt:611 Instantly cold-outreach gold (matches sniped-vib-outreach/outbound stack).
Finding Your Edge.pdf,DISCARDED,,,PDF needs OCR; .docx twin is non-operational positioning worksheet narrative · no tool/technique content.
ICP Definition Worksheet.pdf,DISCARDED,,,"PDF needs OCR; fill-in ICP worksheet, no operational tool/technique how-to (worksheet template only)."
Prompt Template - Combining Techniques-2.pdf,QUEUED,,4,PDF needs OCR; reusable prompt-engineering template (combining techniques) · real prompt-pattern how-to once extracted. <1 segment.
Prompt Template - In Context-2.pdf,QUEUED,,4,PDF needs OCR; in-context prompting template · reusable prompt pattern once OCR'd. <1 segment.
Prompt Template - Problem Decomposition.pdf,QUEUED,,4,PDF needs OCR; problem-decomposition prompt template · reusable prompt pattern once extracted. <1 segment.
Prompt Template - Self Criticism (Advanced)-2.pdf,QUEUED,,4,PDF needs OCR; advanced self-criticism prompt template · reusable prompt pattern once extracted. <1 segment.
Prompt Template - Self Criticism (Basic)-3.pdf,QUEUED,,4,PDF needs OCR; basic self-criticism prompt template · reusable prompt pattern once extracted. <1 segment.
Prompt Template - Thought Generation-2.pdf,QUEUED,,4,PDF needs OCR; thought-generation prompt template · reusable prompt pattern once extracted. <1 segment.
Setting Goals.pdf,DISCARDED,,,"PDF needs OCR; goal-setting worksheet template, no operational tool/technique content."
Weekly Reflections.pdf,DISCARDED,,,"PDF needs OCR; weekly-reflection worksheet template, no operational tool/technique content."
