doc,file_class,segments,coverage_proven,cert_status,doctrine_value,notes
PHOTOGRAPHY_MONEY_GUIDE.docx,UNKNOWN,0,no,exception,?,wave1
PHOTO_PIONEERS_VIDEO_TEXT.docx,high_signal_source,2,yes,certified,high,wave1
Photography_Editing_Playbook.docx,high_signal_source,1,yes,certified,high,wave1
Photography_Revenue_Playbook.docx,high_signal_source,1,yes,certified,high,wave1
Pixieset_Operations_Reference.docx,high_signal_source,1,yes,certified,high,wave1
REMOTION.docx,low_signal_source,1,yes,certified,low,wave1
SNIPED_Chat_Prompts_Reference.docx,high_signal_source,1,yes,certified,high,wave1
SOCIAL_MEDIA_3_0_REFERENCE.docx,high_signal_source,3,yes,certified,high,wave1
THE_REAL_PLAN_Rebrand_Revenue_Execution.docx,high_signal_source,1,yes,certified,high,wave1
THREADS.docx,transcript,3,yes,certified,medium,wave1
The_Adobe_Stack_Manual.docx,high_signal_source,1,yes,certified,high,wave1
The_Attention_Stack.docx,high_signal_source,2,yes,certified,high,wave1
The_Claude_Stack__1.docx,high_signal_source,2,yes,certified,high,wave1
The_Direction_Shift_Master_v2.docx,high_signal_source,1,yes,certified,high,wave1
The_Higgsfield_Codex.docx,high_signal_source,2,yes,certified,high,wave1
The_Kling_AI_Codex.docx,high_signal_source,2,yes,certified,high,wave1
The_Offer_Stack.docx,high_signal_source,2,yes,certified,high,wave1
The_Operator_Playbook.docx,high_signal_source,1,yes,certified,high,wave1
The_Platform_Stack.docx,high_signal_source,2,yes,certified,high,wave1
The_Production_Stack.docx,high_signal_source,2,yes,certified,high,wave1
The_Revenue_Stack.docx,high_signal_source,2,yes,certified,high,wave1
adobe_goat.docx,scrape,3,yes,certified,low,wave1
branding_x_clothes_gold.docx,high_signal_source,3,yes,certified,high,wave1
chat_Sniped_MAster_thread.docx,high_signal_source,10,yes,certified,high,wave1
claude_cowork_genius.docx,high_signal_source,10,yes,certified,high,wave1
claude_for_small_business.docx,scrape,10,yes,certified,medium,wave1
claude_for_small_business_organized.docx,high_signal_source,1,yes,certified,high,wave1
garyvee_gameplan.docx,high_signal_source,4,yes,certified,high,wave1
kling_3_00.docx,high_signal_source,5,yes,certified,high,wave1
legal_contracts_and_service_business_contracts.docx,high_signal_source,2,yes,certified,high,wave1
life_story.docx,high_signal_source,1,yes,certified,high,wave1
set_up_ai.docx,raw_dump,5,yes,certified,low,wave1
sniped_figma.docx,transcript,10,yes,certified,medium,wave1
sniped_os_knowledge_dump.docx,raw_dump,1,yes,certified,medium,wave1
using_ai_x_gumroad_x_digital_products.docx,high_signal_source,9,yes,certified,high,wave1
Build_a_Brand_Like_Apple.docx,transcript,11,yes,certified,high,wave2
gary_thread.docx,transcript,11,yes,certified,high,wave2
mostly_Powerhouse.docx,transcript,11,yes,certified,high,wave2
LOCATION_SCOUTING_OG.docx,transcript,12,yes,certified,medium,wave2
MOODBOARDING_DOC_OG.docx,raw_dump,12,yes,certified,medium,wave2
last_ig_growth_strat.docx,transcript,12,yes,certified,high,wave2
higssfield_og.docx,transcript,14,yes,certified,high,wave2
claude_thursday_4_23.docx,transcript,16,yes,certified,high,wave2
PIXIESET_NEW_USE.docx,artifact,17,yes,certified,medium,wave2
bunch_of_mess.docx,raw_dump,17,yes,certified,medium,wave2
ai_after_ramon_copy.docx,transcript,19,yes,certified,low,wave2
takeover_after_ramon_copy.docx,transcript,19,yes,certified,medium,wave2
meta_everything_use.docx,raw_dump,10,yes(structural),certified,medium,wave2 (coverage structural; haiku undercounted self-report)
LIGHTING_SET_UPS_OG.docx,raw_dump,21,yes,certified,low,wave2
POSING_101_OG.docx,high_signal_source,23,yes,certified,high,wave2
last_lightroom_hopefully.docx,transcript,25,yes,certified,high,wave2
SOCIAL_MEDIA_3_0_MAY_USE.docx,high_signal_source,27,yes,certified,high,wave2
youtube_skool_doc.docx,transcript,20,yes,certified,medium,wave2
cold_out_reach_instantly_gold_everything_use_this.docx,high_signal_source,31,yes,certified,high,wave2
series_1_download.docx,transcript,31,yes,certified,medium,wave2
gary2_0_use.docx,transcript,44,yes,certified,medium,wave2
NEXT_INFO_GRABS.docx,scrape,48,yes,certified,medium,wave2
series_5_download.docx,transcript,53,yes,certified,high,wave2
new_world.docx,transcript,54,yes,certified,medium,wave2
world_building_characters_etc.docx,transcript,50,yes(structural),certified,low,wave2 (coverage structural; haiku undercounted self-report)
high_level_convos.docx,transcript,85,yes(structural),certified,low,wave2 (coverage structural; haiku undercounted self-report)
new_hot_shit.docx,transcript,113,yes,certified,low,wave2
astro_claude_websites_3x_faster.docx,raw_dump,117,yes,certified,medium,wave2
series_3_download.docx,transcript,112,yes(structural),certified,medium,wave2 (coverage structural; haiku undercounted self-report)
series_2_download.docx,transcript,140,yes(structural),certified,high,wave2 (coverage structural; haiku undercounted self-report)
PHOTOGRAPHY_MONEY_GUIDE.docx,high_signal_source,5,yes,certified,high,wave2
