tool,classification,range_unlocked,output_requiring_it,beyond_current_scripts,usable_today,immediate_action,trigger_input,proving_artifact,gate,current_substitute
Desktop Commander (app),HANDOFF_NOW,drive Mac apps/terminal from app,automate Photoshop/Premiere on Mac,local app control,yes(app),run in claude.ai app,drive a desktop creative app,(app),artifact check,local Bash(this CLI)
PDF Viewer (app) / local PDF,USE_NOW(local),assemble/inspect PDFs,"decks, one-sheets, contracts",build+read PDF,yes,PROVEN today,deck/contract,DEED_DECK.pdf (5pp),review,Pillow PDF
Zapier (app),WIRE_INSTALL,automation glue (8000+ apps),cross-app workflows,event automation,yes(app),bridge via /mcp-builder later,multi-app automation,(app),gate each action,os_* scripts(internal)
Twilio (app),INPUT_SPECIFIC,SMS / voice,SMS proof/confirm flows,programmable messaging,yes(app),handoff in app,an SMS-based flow,(app),you approve send,none(not needed yet)
ZoomInfo (app),INPUT_SPECIFIC,B2B lead enrichment,licensing-lane outreach lists,contact data,yes(app),handoff in app,B2B licensing push,(app),privacy gate,none
Adspirer (app),WIRE_INSTALL,cross-platform ad management,paid distribution,ad campaigns,yes(app),bridge later (HELD),paid launch,(HELD),spend gate,none
Runway,WIRE_INSTALL,alt/▸stronger motion for some shots,motion Seedance struggles with,different motion model,no,install/subscribe if Seedance limits hit,a shot Seedance fails,(install),motion gate,Seedance(covers most)
Midjourney,AVOID_IF_REPLACED,stills,stylized stills,another stills model,no,-,redundant,-,-,Higgsfield Nano Banana
Synthesia,INPUT_SPECIFIC,talking-head/avatar video,a presenter video,avatar narration,no,install only if a FACE is wanted,explainer with a presenter,-,identity gate,n/a(brand is faceless)
After Effects (desktop),WIRE_INSTALL,motion graphics + animated titles,real cinematic trailer titling,keyframed motion design,no,install for cinematic tier,animated title/lower-third/sound,-,motion gate,ffmpeg+still cards(no motion-gfx)
Premiere (desktop),WIRE_INSTALL,pro multi-track edit + sound,long-form edited films,timeline editing + audio,no,install for long-form,a real edited film/trailer,-,motion gate,ffmpeg(cuts only)
Blender,WIRE_INSTALL,true 3D objects/scenes/motion,"3D product, virtual set, 3D type",real 3D render,no,install for a real 3D drop,"3D wax-sealed cert, 3D set",-,visual verify,2D composite + Higgsfield pseudo-3D
Spline,WIRE_INSTALL,3D for the web / interactive,interactive 3D web hero,web-native 3D,no,install if interactive web,a 3D interactive landing,-,-,static hero(current)
Unreal Engine,WIRE_INSTALL,real-time virtual production,cinematic virtual environments,game-engine cinematics,no,year-2+ only,virtual-production film,-,-,Higgsfield environments
CapCut,AVOID_IF_REPLACED,fast social captions/effects,quick social cutdowns,template captions/effects,no,-,high-volume social editing,-,motion gate,ffmpeg+os_adobe_cut
