tool,current_status,callable_here,installed_elsewhere,needed_for_world_class,unlocks,current_substitute,smallest_activation_test,proving_artifact_required,risk,priority_rank,recommendation
Blender,RED,no,no,LATER,"true 3D product mockups, 3D motion, virtual sets",2D composite mockup + Higgsfield pseudo-3D,-,-,steep; not automatable easily,19,Distraction now; revisit for a real 3D drop
Spline,RED,no,no,NOT_NEEDED,3D web/interactive,n/a now,-,-,only if interactive web,22,Skip now
Unreal Engine,RED,no,no,LATER,real-time virtual production/cinematic sets,Higgsfield-generated environments,-,-,massive complexity,23,Year-2+; not now
Netlify / Vercel (MCP),AMBER,yes,yes(app),LATER,hosting a live landing/proof loop,none (it IS hosting),deploy a static page,a live URL,public exposure; HELD,8,Required before public launch only
Airtable (MCP),AMBER,yes,yes(app),OPTIONAL_NOW,lead/proof-response tracking at scale,local RESPONSES.csv,create a base + 1 record,a base with a row,mutates your account,12,Wire when a real proof loop runs
Notion (MCP),AMBER,yes,yes(app),OPTIONAL_NOW,living docs/CRM,local md/csv,create a page,a Notion page,mutates your account,14,Optional; local docs suffice now
Google Drive (MCP),AMBER,yes,yes(app),OPTIONAL_NOW,asset storage/sharing,local disk + git,read one file,a fetched file,TEMP-bridge caution,16,Optional; do not anchor as baseplate
Gmail (MCP),AMBER,yes,yes(app),LATER,outreach drafts,none,draft (no send),a draft,outbound; HELD,17,"Drafts only, later"
Semrush (MCP),AMBER,yes,yes(app),LATER,SEO/market intel,none,one report,a report,only matters if public,18,Wait until public
Zapier (app),AMBER,no,yes(app),LATER,automation glue across apps,manual os_* scripts,-,-,powerful+risky,19,Later; gate every action
Twilio (app),AMBER,no,yes(app),NOT_NEEDED,SMS/voice,none,-,-,outbound,21,Not for a faceless visual studio now
ZoomInfo (app),AMBER,no,yes(app),LATER,B2B lead enrichment (licensing lane),none,-,-,identity/privacy,20,"Later, for licensing outreach"
Adspirer (app),AMBER,no,yes(app),LATER,cross-platform ad management,none,-,-,ad spend; HELD,22,Later; no ad spend now
claude.ai biz skills (Sales/Marketing/Legal/Finance/etc),AMBER,no,yes(app),OPTIONAL_NOW,domain workflows,Claude reasoning + os docs,run one in app,an app artifact,app-only; handoff,17,Use in-app on demand; do not bridge
